2001
1013847.0 5432255.0 46 0 0 Holstenstr. 12, 24103 Kiel
1015670.0 5439178.0 46 16 16 Buschblick 12, 24159 Kiel
1017096.0 5439391.0 46 17 17 Stettiner Platz 4, 24159 Kiel
1011723.0 5427405.0 46 10 10 Moorseer Weg 2, 24145 Kiel
1012171.0 5430419.0 46 4 4 Theodor-Heuss-Ring 66, 24113 Kiel
1007783.0 5428201.0 46 10 10 Holthagen 3, 24113 Molfsee
1016307.0 5429138.0 46 9 9 Segeberger Landstr. 83, 24145 Kiel
1012143.0 5433685.0 46 4 4 Ludewig-Meyn-Str. 10, 24118 Kiel
1009359.0 5441272.0 46 18 18 Kubitzberg 11, 24161 Altenholz
1018826.0 5433231.0 46 12 12 Quittenstr. 21, 24149 Kiel
1011245.0 5427916.0 46 10 10 Hortensienstrauch 13, 24145 Kiel
1018514.0 5432414.0 46 9 9 Stolzeweg 3, 24148 Kiel
1014537.0 5431358.0 46 5 5 Schulstr. 15, 24143 Kiel
1019776.0 5433896.0 46 13 13 Masurenring 46, 24149 Kiel
1008359.0 5433457.0 46 8 8 Sandkoppel 14, 24119 Kronshagen
1006931.0 5436090.0 46 12 12 Pellwormer Weg 65, 24107 Kiel
1014615.0 5426577.0 46 10 10 Steindamm 108, 24145 Kiel
1013465.0 5428793.0 46 6 6 Barkauer Str. 8, 24145 Kiel
1005679.0 5430091.0 46 10 10 Ihlkatenweg 2, 24111 Kiel
1014181.0 5431108.0 46 4 4 Karlstal 14, 24143 Kiel
1013283.0 5438373.0 46 12 12 Kolberger Weg 1, 24161 Altenholz
1016650.0 5439819.0 46 16 16 Liliencronstr. 5, 24159 Kiel
1010365.0 5434827.0 46 7 7 Mangoldtstr. 4, 24106 Kiel
1014490.0 5434024.0 46 4 4 Moltkestr. 37, 24105 Kiel
1017618.0 5429862.0 46 8 8 Villacher Str. 47, 24147 Kiel
1009578.0 5435136.0 46 8 8 Gänsewiese 9, 24107 Kiel
1017353.0 5441207.0 46 19 19 Delphinweg 7, 24159 Kiel
1016504.0 5441819.0 46 18 18 Schilkseer Str. 144, 24159 Kiel
1012621.0 5440570.0 46 15 15 Wacholderweg 2, 24161 Altenholz
1013237.0 5433227.0 46 2 2 Holtenauer Str. 62, 24105 Kiel
1017234.0 5441431.0 46 18 18 Langenfelde 151, 24159 Kiel
1003968.0 5434029.0 46 13 13 Dorfstr. 64, 24107 Ottendorf
1013850.0 5430548.0 46 4 4 Sörensenstr. 30, 24143 Kiel
1013592.0 5434128.0 46 4 4 Esmarchstr. 49, 24105 Kiel
1012233.0 5434417.0 46 5 5 Neufeldstr. 7, 24118 Kiel
1012158.0 5432562.0 46 3 3 Arndtplatz 4, 24116 Kiel
1006883.0 5433676.0 46 9 9 Wiesenblick 1, 24107 Ottendorf
1009032.0 5434023.0 46 8 8 Kopperpahler Allee 78, 24119 Kronshagen
1019520.0 5427839.0 46 14 14 Irisweg 4, 24146 Kiel
1018017.0 5433172.0 46 12 12 Luisenstr. 16, 24149 Kiel
1011763.0 5432437.0 46 3 3 Wörthstr. 3, 24116 Kiel
1013289.0 5435439.0 46 7 7 Danckwerthstr. 3, 24106 Kiel
1007655.0 5430832.0 46 11 11 Grünauzeile 1, 24111 Kiel
1015440.0 5439551.0 46 16 16 Wagnerring 84, 24159 Kiel
1014952.0 5433605.0 46 3 3 Luisenweg 12, 24105 Kiel
1019552.0 5429610.0 46 10 10 Klosterweg 10, 24146 Kiel
1014219.0 5434324.0 46 5 5 Bülowstr. 6, 24105 Kiel
1011729.0 5431798.0 46 3 3 Schützenwall 31, 24114 Kiel
1002944.0 5431572.0 46 9 9 Dorfstr. 40, 24109 Melsdorf
1015100.0 5440091.0 46 15 15 Friedrichsruher Weg 201, 24159 Kiel
1006282.0 5426449.0 46 12 12 Schulberg 2, 24113 Molfsee
1014873.0 5431172.0 46 6 6 Kaiserstr. 37, 24143 Kiel
1009373.0 5434958.0 46 8 8 Klausbrooker Weg 4, 24107 Kiel
1007571.0 5436396.0 46 13 13 Rügenweg 3, 24107 Kiel
999056.0 5433992.0 46 17 17 Zum Sportplatz 1, 24107 Quarnbek
1016596.0 5441819.0 46 18 18 Schilkseer Str. 136, 24159 Kiel
1007517.0 5433539.0 46 10 10 Steindamm 2, 24119 Kronshagen
1014963.0 5433235.0 46 2 2 Düsternbrooker Weg 29, 24105 Kiel
1005162.0 5430281.0 46 9 9 Rendsburger Landstr. 465, 24111 Kiel
999153.0 5434067.0 46 17 17 Mönkbergseck 27, 24107 Quarnbek
1019925.0 5433191.0 46 13 13 Steertsraderedder 40, 24149 Kiel
1012968.0 5434955.0 46 6 6 Hanssenstr. 14, 24106 Kiel
1005089.0 5430351.0 46 9 9 Am Taubenkrug 1, 24111 Kiel
1012051.0 5440706.0 46 17 17 Vordere Wurth 9, 24161 Altenholz
1013072.0 5433308.0 46 2 2 Schauenburgerstr. 38, 24105 Kiel
1004831.0 5426351.0 46 15 15 Poggenkrugsweg 52, 24113 Molfsee
1008409.0 5435417.0 46 9 9 Ellerkrug 112, 24107 Kiel
1012681.0 5431013.0 46 2 2 Sophienblatt 63, 24114 Kiel
1015524.0 5428575.0 46 10 10 Stauffenberg-Ring 57, 24145 Kiel
1013014.0 5432154.0 46 2 2 Kleiner Kuhberg 36, 24103 Kiel
1009675.0 5428224.0 46 8 8 Meimersdorfer Weg 105, 24145 Kiel
1007083.0 5433529.0 46 9 9 Herrenwiese 21, 24119 Kronshagen
1018874.0 5429676.0 46 10 10 Tiroler Ring 536, 24147 Kiel
1010826.0 5432682.0 46 4 4 Kronshagener Weg 90, 24116 Kiel
1018809.0 5432642.0 46 10 10 Wehdenweg 1, 24148 Kiel
1011485.0 5432726.0 46 4 4 Geibelallee 1, 24116 Kiel
1012584.0 5432101.0 46 2 2 Adelheidstr. 30, 24103 Kiel
1007118.0 5428253.0 46 13 13 Mielkendorfer Weg 23, 24113 Molfsee
1007209.0 5435718.0 46 11 11 Steinberg 144, 24107 Kiel
1012496.0 5433195.0 46 2 2 Hansastr. 2, 24118 Kiel
1015893.0 5431301.0 46 6 6 Ostring 193, 24143 Kiel
1013162.0 5436376.0 46 8 8 Schleusenstr. 24, 24106 Kiel
1006206.0 5432174.0 46 10 10 Gotlandwinkel 16, 24109 Kiel
1019145.0 5432863.0 46 10 10 Schönkirchener Str. 33, 24149 Kiel
1012181.0 5431414.0 46 3 3 Papenkamp 37, 24114 Kiel
1007798.0 5436354.0 46 11 11 Wolliner Weg 8, 24107 Kiel
1015219.0 5427498.0 46 8 8 Edisonstr. 9, 24145 Kiel
1005923.0 5427014.0 46 14 14 Dorfstr. 29, 24113 Molfsee
1017642.0 5431718.0 46 9 9 Peter-Hansen-Str. 1, 24148 Kiel
1012761.0 5435647.0 46 7 7 Büsumer Weg 53, 24106 Kiel
1012443.0 5436933.0 46 12 12 Friedrich-Voß-Ufer 38, 24159 Kiel
1013525.0 5438155.0 46 11 11 Dänischenhagener Str. 1, 24159 Altenholz
1008273.0 5432989.0 46 7 7 Hofbrook 13, 24119 Kronshagen
1007034.0 5430281.0 46 11 11 Steglitzer Weg 15, 24111 Kiel
1015145.0 5433222.0 46 2 2 Kiellinie 61, 24105 Kiel
1015425.0 5428152.0 46 10 10 Bunsenstr. 24, 24145 Kiel
1019172.0 5433842.0 46 12 12 Insterburger Str. 4, 24149 Kiel
1020161.0 5428287.0 46 13 13 Zeppelinring 17, 24146 Kiel
1021098.0 5432614.0 46 12 12 Trenntrader Weg 3, 24149 Kiel
1017442.0 5441228.0 46 19 19 Delphinweg 1, 24159 Kiel
1019206.0 5429355.0 46 10 10 Hahnbusch 3, 24146 Kiel
1015440.0 5439588.0 46 16 16 Wagnerring 29, 24159 Kiel
1010617.0 5431042.0 46 6 6 Saarbrückenstr. 112, 24114 Kiel
1013912.0 5433806.0 46 4 4 Düppelstr. 65, 24105 Kiel
1007744.0 5430000.0 46 9 9 Am Seeufer 1, 24111 Kiel
1008539.0 5435267.0 46 9 9 Klinkerwisch 45, 24107 Kiel
1012347.0 5431846.0 46 2 2 Herzog-Friedrich-Str. 94, 24103 Kiel
1017993.0 5431757.0 46 9 9 Klausdorfer Weg 171, 24148 Kiel
1014360.0 5432661.0 46 1 1 Schlossgarten 12, 24103 Kiel
1012775.0 5433116.0 46 2 2 Gutenbergstr. 2, 24118 Kiel
1011810.0 5431884.0 46 3 3 Harmsstr. 100, 24114 Kiel
1017382.0 5439087.0 46 15 15 Koloniestr. 2, 24159 Kiel
1013107.0 5429616.0 46 7 7 Karlsburger Feldweg 25, 24113 Kiel
1015670.0 5439178.0 46 16 16 Buschblick 12, 24159 Kiel
1012221.0 5430163.0 46 5 5 Blaumeisenweg 1, 24113 Kiel
1007413.0 5431823.0 46 7 7 Melsdorfer Str. 8, 24109 Kiel
1010215.0 5427508.0 46 9 9 Meimersdorfer Weg 211, 24145 Kiel
1012530.0 5430692.0 46 3 3 Alte Lübecker Chaussee 9, 24114 Kiel
1017778.0 5431157.0 46 10 10 Willy-Jacob-Weg 13, 24148 Kiel
1012701.0 5437013.0 46 12 12 Waffenschmiede 54, 24159 Kiel
1017617.0 5441447.0 46 19 19 Graf-Luckner-Str. 60, 24159 Kiel
1009443.0 5432947.0 46 6 6 Am Gartenheim 1, 24119 Kronshagen
1016011.0 5439885.0 46 18 18 Wilhelm-Lobsien-Weg 8, 24159 Kiel
1014424.0 5432940.0 46 2 2 Arnold-Heller-Str. 9, 24105 Kiel
1013695.0 5430717.0 46 3 3 Schwedendamm 21, 24143 Kiel
1015540.0 5428683.0 46 10 10 Witzlebenweg 2, 24145 Kiel
1003014.0 5431758.0 46 10 10 Dorfstr. 26, 24109 Melsdorf
1006092.0 5426462.0 46 13 13 Gannerbarg 2, 24113 Molfsee
1014766.0 5426259.0 46 9 9 Seewiesenredder 19, 24145 Kiel
1010030.0 5434533.0 46 6 6 Am Knick 1, 24119 Kronshagen
1016726.0 5428917.0 46 9 9 Segeberger Landstr. 109, 24145 Kiel
1015565.0 5439485.0 46 16 16 Buschblick 79, 24159 Kiel
1018765.0 5433660.0 46 12 12 Nachtigalstr. 11, 24149 Kiel
1011544.0 5435442.0 46 8 8 Steenbeker Weg 33, 24106 Kiel
1012461.0 5433731.0 46 4 4 Westring 390, 24118 Kiel
1014372.0 5430414.0 46 5 5 Oldenburger Str. 3, 24143 Kiel
1021490.0 5432085.0 46 13 13 Kiebitzbek 1, 24149 Kiel
1008790.0 5428260.0 46 10 10 Eschenbrook 21, 24113 Molfsee
1018130.0 5430313.0 46 9 9 Wüstenfelde 7, 24147 Kiel
1014170.0 5432329.0 46 0 0 Eggerstedtstr. 12, 24103 Kiel
1010501.0 5433150.0 46 6 6 Mühlenweg 162, 24116 Kiel
1007877.0 5433782.0 46 9 9 Suchsdorfer Weg 20, 24119 Kronshagen
1016140.0 5429258.0 46 8 8 Buschkoppel 2, 24145 Kiel
1012753.0 5435325.0 46 7 7 Husumer Weg 2, 24106 Kiel
1012940.0 5433760.0 46 3 3 Samwerstr. 23, 24118 Kiel
1000788.0 5434177.0 46 16 16 Birnbaumfeld 2, 24107 Quarnbek
1008512.0 5435410.0 46 9 9 Ellerkrug 31, 24107 Kiel
1007230.0 5436085.0 46 13 13 Nordseestr. 11, 24107 Kiel
1019103.0 5434006.0 46 12 12 Masurenring 106, 24149 Kiel
1010822.0 5430112.0 46 5 5 Hamburger Chaussee 155, 24113 Kiel
1018017.0 5433172.0 46 12 12 Luisenstr. 16, 24149 Kiel
1018771.0 5429572.0 46 10 10 Preetzer Chaussee 214, 24146 Kiel
1008688.0 5429937.0 46 8 8 Rendsburger Landstr. 246, 24113 Kiel
1006365.0 5432433.0 46 11 11 Göteborgring 62, 24109 Kiel
1013695.0 5430717.0 46 3 3 Schwedendamm 21, 24143 Kiel
1014757.0 5434372.0 46 6 6 Niemannsweg 147, 24105 Kiel
1013492.0 5430641.0 46 3 3 Schwedendamm 8, 24143 Kiel
1008903.0 5433157.0 46 8 8 Villenweg 5, 24119 Kronshagen
1013215.0 5430170.0 46 6 6 Tonberg 7, 24113 Kiel
1013503.0 5438501.0 46 12 12 Pommernring 1, 24161 Altenholz
1012933.0 5431500.0 46 1 1 Ringstr. 13, 24114 Kiel
1011143.0 5427440.0 46 10 10 Am Dorfplatz 18, 24145 Kiel
1007118.0 5428253.0 46 13 13 Mielkendorfer Weg 23, 24113 Molfsee
1016276.0 5439351.0 46 15 15 Fritz-Reuter-Str. 37, 24159 Kiel
1012724.0 5436955.0 46 11 11 Waffenschmiede 66, 24159 Kiel
1017321.0 5442343.0 46 19 19 Am Kurpark 8, 24159 Kiel
1008539.0 5435267.0 46 9 9 Klinkerwisch 45, 24107 Kiel
1016209.0 5431671.0 46 7 7 Klosterstr. 6, 24148 Kiel
1006916.0 5427489.0 46 12 12 Captain-Thiessen-Weg 26, 24113 Molfsee
1009799.0 5431938.0 46 5 5 Hasseldieksdammer Weg 181, 24114 Kiel
1005092.0 5431339.0 46 10 10 Jütlandring 23, 24109 Kiel
1008169.0 5433130.0 46 7 7 Hofbrook 2, 24119 Kronshagen
1011921.0 5431780.0 46 3 3 Harmsstr. 82, 24114 Kiel
1011283.0 5435612.0 46 10 10 Charles-Roß-Ring 1, 24106 Kiel
1012065.0 5431278.0 46 3 3 Kreienbarg 3, 24114 Kiel
1011103.0 5427790.0 46 10 10 Wendenweg 15, 24145 Kiel
1017411.0 5441547.0 46 19 19 Seeadlerweg 2, 24159 Kiel
1013344.0 5433720.0 46 3 3 Holtenauer Str. 99, 24118 Kiel
1008037.0 5429092.0 46 10 10 Wiepenkrog 2, 24113 Kiel
1015173.0 5433511.0 46 3 3 Düsternbrooker Weg 80, 24105 Kiel
1021412.0 5432173.0 46 13 13 Oppendorfer Weg 47, 24149 Kiel
1008687.0 5432821.0 46 7 7 Bürgermeister-Drews-Str. 47, 24119 Kronshagen
1008851.0 5434268.0 46 8 8 Elsa-Brandström-Str. 53, 24119 Kronshagen
1007136.0 5436067.0 46 11 11 Nordseestr. 17, 24107 Kiel
1015409.0 5434046.0 46 4 4 Niemannsweg 110, 24105 Kiel
1013011.0 5440517.0 46 17 17 Lärchenweg 9, 24161 Altenholz
1013337.0 5432033.0 46 2 2 Schevenbrücke 9, 24103 Kiel
1006704.0 5433872.0 46 9 9 Ottendorfer Weg 59, 24107 Ottendorf
1014091.0 5432414.0 46 1 1 Dänische Str. 3, 24103 Kiel
1019466.0 5429380.0 46 12 12 Hahnbusch 29, 24146 Kiel
1013442.0 5427994.0 46 8 8 Radewisch 91, 24145 Kiel
1016650.0 5439819.0 46 16 16 Liliencronstr. 5, 24159 Kiel
1016676.0 5440303.0 46 15 15 Redderkoppel 1, 24159 Kiel
1013215.0 5433078.0 46 2 2 Holtenauer Str. 20, 24105 Kiel
1009888.0 5439621.0 46 16 16 Gut Friedrichshof 1, 24161 Altenholz
1008939.0 5434427.0 46 8 8 Albert-Einstein-Str. 1, 24119 Kronshagen
1012138.0 5433210.0 46 3 3 Gutenbergstr. 40, 24118 Kiel
1012436.0 5435116.0 46 6 6 Projensdorfer Str. 70, 24106 Kiel
1012031.0 5440474.0 46 16 16 Moorredder 17, 24161 Altenholz
1012959.0 5431380.0 46 2 2 Sophienblatt 48, 24114 Kiel
1012188.0 5439719.0 46 14 14 Buschberg 33, 24161 Altenholz
1006434.0 5426423.0 46 12 12 Schulstr. 4, 24113 Molfsee
1012132.0 5440427.0 46 16 16 Moorredder 3, 24161 Altenholz
1015434.0 5440248.0 46 16 16 Friedrichsruher Weg 236, 24159 Kiel
1011873.0 5432371.0 46 4 4 Wörthstr. 1, 24116 Kiel
1011405.0 5432142.0 46 3 3 Hasseldieksdammer Weg 39, 24116 Kiel
1013922.0 5434705.0 46 5 5 Feldstr. 172, 24105 Kiel
1007998.0 5435217.0 46 10 10 Langer Holm 2, 24107 Kiel
1013640.0 5432877.0 46 2 2 Brunswiker Str. 49, 24103 Kiel
1013135.0 5431755.0 46 1 1 Herzog-Friedrich-Str. 2, 24103 Kiel
1013557.0 5433348.0 46 3 3 Gerhardstr. 18, 24105 Kiel
1017642.0 5431718.0 46 9 9 Peter-Hansen-Str. 1, 24148 Kiel
1012351.0 5439636.0 46 14 14 Klintenberg 34, 24161 Altenholz
1013763.0 5433883.0 46 4 4 Wilhelmshavener Str. 2, 24105 Kiel
1016109.0 5438800.0 46 15 15 Weststr. 5, 24159 Kiel
1010903.0 5430568.0 46 5 5 Rendsburger Landstr. 76, 24113 Kiel
1012984.0 5433508.0 46 3 3 Knooper Weg 141, 24118 Kiel
1017001.0 5428498.0 46 9 9 Segeberger Landstr. 172, 24145 Kiel
1010056.0 5434394.0 46 7 7 Teichhörn 2, 24119 Kronshagen
1012508.0 5440162.0 46 15 15 Linden-Allee 110, 24161 Altenholz
1013304.0 5434594.0 46 5 5 Holtenauer Str. 232, 24105 Kiel
1018783.0 5433830.0 46 12 12 Helenenstr. 5, 24149 Kiel
1009956.0 5434554.0 46 7 7 Am Knick 7, 24119 Kronshagen
1011844.0 5435947.0 46 10 10 Langenrade 16, 24106 Kiel
1007712.0 5434929.0 46 10 10 Wetterbek 61, 24107 Kiel
1011664.0 5432532.0 46 3 3 Metzstr. 33, 24116 Kiel
1018516.0 5433781.0 46 12 12 Helenenstr. 62, 24149 Kiel
1013812.0 5432519.0 46 1 1 Jensendamm 5, 24103 Kiel
1012547.0 5428308.0 46 8 8 Grönhorst 1, 24145 Kiel
1012910.0 5432500.0 46 2 2 Fleethörn 42, 24103 Kiel
1011161.0 5435910.0 46 9 9 Frerich-Frerichs-Allee 2, 24106 Kiel
1012873.0 5431696.0 46 1 1 Lerchenstr. 18, 24103 Kiel
1013244.0 5437186.0 46 11 11 Wittenbrook 26, 24159 Kiel
1017069.0 5431019.0 46 8 8 Franziusallee 219, 24148 Kiel
1012553.0 5440791.0 46 16 16 Alter Kieler Weg 2, 24161 Altenholz
1015105.0 5429648.0 46 7 7 Segeberger Landstr. 3, 24145 Kiel
1007263.0 5426404.0 46 12 12 Eiderblick 8, 24113 Molfsee
1016372.0 5430982.0 46 9 9 Röhbarg 13, 24148 Kiel
