1001
10.13847 54.32255 0 0 0 Holstenstr. 12, 24103 Kiel
10.19288 54.3238 73 11 11 Neumühlener Str. 76, 24148 Kiel
10.06435 54.26248 79 12 12 Hamburger Chaussee 18, 24113 Molfsee
10.09278 54.29604 78 9 9 Speckenbeker Weg 140, 24113 Kiel
10.15962 54.28939 70 9 9 Kreisauer Ring 22, 24145 Kiel
10.06863 54.26423 79 12 12 Tunnelstr. 2, 24113 Molfsee
10.0546 54.31898 80 11 11 Osloring 15, 24109 Kiel
10.15953 54.31637 83 6 6 Werftstr. 117, 24148 Kiel
10.16749 54.31416 78 7 7 Plöner Str. 6, 24148 Kiel
10.07632 54.35126 69 10 10 Rotenbek 23, 24107 Kiel
10.14937 54.39934 82 16 16 Friedrichsruher Weg 163, 24159 Kiel
10.1539 54.39613 83 16 16 Wagnerring 58, 24159 Kiel
10.13659 54.31293 71 4 4 Zur Helling 1, 24143 Kiel
10.07878 54.27893 82 10 10 Hamburger Landstr. 72, 24113 Molfsee
10.11892 54.40511 75 17 17 Moorredder 19, 24161 Altenholz
10.1554 54.28683 67 10 10 Witzlebenweg 2, 24145 Kiel
10.01941 54.34183 82 14 14 Plattenberg 17, 24107 Quarnbek
10.07235 54.35215 71 11 11 Steinberg 18, 24107 Kiel
10.05155 54.33066 70 11 11 Narvikstr. 202, 24109 Kiel
10.1309 54.31513 71 1 1 Sophienblatt 29, 24103 Kiel
10.14473 54.33008 79 4 4 Michaelisstr. 11, 24105 Kiel
10.08337 54.33344 80 7 7 Haßknöll 17, 24119 Kronshagen
10.13157 54.34237 67 4 4 Hardenbergstr. 27, 24118 Kiel
10.14082 54.32798 74 2 2 Brunswiker Str. 23, 24105 Kiel
10.17812 54.30513 71 9 9 Radebrook 1, 24147 Kiel
10.19587 54.32943 74 10 10 Schönkirchener Str. 55, 24149 Kiel
10.12386 54.40274 83 15 15 Ahornallee 4, 24161 Altenholz
10.11258 54.324 82 4 4 Westring 237, 24116 Kiel
10.18718 54.33071 75 11 11 Probsteier Platz 11, 24149 Kiel
10.10002 54.34293 84 6 6 Eckernförder Str. 244, 24119 Kronshagen
10.16533 54.31335 68 7 7 Plöner Str. 48, 24148 Kiel
10.1038 54.32786 70 5 5 Kronshagener Weg 118, 24116 Kiel
10.10038 54.34247 67 7 7 Eckernförder Str. 279, 24119 Kronshagen
10.11759 54.3573 69 8 8 Projensdorfer Str. 174, 24106 Kiel
10.13748 54.36326 80 9 9 Am Kiel-Kanal 3, 24106 Kiel
10.16558 54.41979 82 19 19 Schilkseer Str. 156, 24159 Kiel
10.13142 54.38706 83 12 12 Tilsiter Weg 2, 24161 Altenholz
10.12245 54.4088 68 16 16 Freesenberg 84, 24161 Altenholz
10.12657 54.33451 79 3 3 Alsenstr. 30, 24118 Kiel
10.04832 54.31965 69 10 10 Aalborgring 14, 24109 Kiel
10.07319 54.36295 78 11 11 Alte Chaussee 1, 24107 Kiel
10.14658 54.34663 79 6 6 Bismarckallee 27, 24105 Kiel
10.09863 54.34293 71 6 6 Möllerstr. 2, 24119 Kronshagen
10.19223 54.28705 73 11 11 Isarweg 50, 24146 Kiel
10.16637 54.31575 71 7 7 Hollmannstr. 39, 24148 Kiel
10.14196 54.32667 73 1 1 Lorentzendamm 6, 24103 Kiel
9.99056 54.33992 75 17 17 Zum Sportplatz 1, 24107 Quarnbek
10.12995 54.32348 75 1 1 Dammstr. 32, 24103 Kiel
10.0529 54.31445 83 11 11 Svendborger Str. 13, 24109 Kiel
10.08574 54.28883 76 10 10 Großer Eiderkamp 3, 24113 Molfsee
10.19582 54.33818 68 13 13 Pillauer Str. 10, 24149 Kiel
10.12307 54.39405 78 14 14 Kronsberg 5, 24161 Altenholz
10.13645 54.34097 80 4 4 Gneisenaustr. 18, 24105 Kiel
10.07561 54.31899 83 7 7 Melsdorfer Str. 8, 24109 Kiel
10.13254 54.29622 80 7 7 Karlsburger Feldweg 27, 24113 Kiel
10.17566 54.41572 77 19 19 Seeadlerweg 27, 24159 Kiel
10.16674 54.29044 73 9 9 Kölenberg 63, 24145 Kiel
10.08222 54.33161 73 7 7 Kieler Str. 81, 24119 Kronshagen
10.07225 54.32614 74 10 10 Claus-Sinjen-Str. 41, 24119 Kronshagen
10.08326 54.363 80 11 11 Wippen 31, 24107 Kiel
10.12233 54.31467 79 3 3 Papenkamp 29, 24114 Kiel
10.18349 54.29685 83 8 8 Tiroler Ring 2, 24147 Kiel
10.13166 54.30388 75 5 5 Tonberg 6, 24113 Kiel
10.1316 54.37249 78 11 11 Gravensteiner Str. 12, 24159 Kiel
10.12839 54.35779 68 7 7 Achterkamp 123, 24106 Kiel
10.01941 54.34183 77 14 14 Plattenberg 17, 24107 Quarnbek
10.12039 54.31669 83 3 3 Harmsstr. 68, 24114 Kiel
10.16944 54.28678 69 9 9 Segeberger Landstr. 139, 24145 Kiel
10.12932 54.38485 68 13 13 Posener Str. 32, 24161 Altenholz
10.16055 54.31324 77 7 7 Ostring 232, 24148 Kiel
10.06765 54.27686 68 12 12 Osterberg 12, 24113 Molfsee
10.12599 54.39734 80 14 14 Ohlandbogen 1, 24161 Altenholz
10.12942 54.4054 76 17 17 Lärchenweg 12, 24161 Altenholz
10.15409 54.28619 69 10 10 Tresckowweg 17, 24145 Kiel
10.18039 54.30549 77 10 10 Radebrook 13, 24147 Kiel
10.14191 54.37342 67 12 12 Hünefeldstr. 1, 24159 Kiel
10.06975 54.30291 76 11 11 Steglitzer Weg 15, 24111 Kiel
10.13447 54.3353 78 3 3 Waitzstr. 44, 24105 Kiel
10.12611 54.34021 69 4 4 Westring 424, 24118 Kiel
10.1417 54.32329 83 0 0 Eggerstedtstr. 12, 24103 Kiel
10.08733 54.33711 83 7 7 Kopperpahler Allee 50, 24119 Kronshagen
10.16889 54.39683 75 16 16 Gudegastkoppel 7, 24159 Kiel
10.14176 54.32172 83 0 0 Schuhmacherstr. 37, 24103 Kiel
10.08556 54.28669 82 10 10 Hamburger Landstr. 15, 24113 Molfsee
10.11207 54.30512 83 5 5 Danewerkstr. 14, 24113 Kiel
10.14642 54.33949 74 5 5 Caprivistr. 21, 24105 Kiel
10.07488 54.27689 74 12 12 Rammsmoor 18, 24113 Molfsee
10.12446 54.31996 69 2 2 Adelheidstr. 16, 24103 Kiel
10.09579 54.34503 73 8 8 Waidmannsruh 33, 24119 Kronshagen
10.12709 54.32909 70 2 2 Lessingplatz 6, 24116 Kiel
10.11258 54.324 77 4 4 Westring 237, 24116 Kiel
10.12968 54.32468 77 1 1 Muhliusstr. 78, 24103 Kiel
10.1742 54.31509 78 8 8 Peter-Hansen-Str. 119, 24148 Kiel
10.08222 54.33161 83 7 7 Kieler Str. 81, 24119 Kronshagen
10.1519 54.31339 73 6 6 Augustenstr. 70, 24143 Kiel
10.14218 54.30968 78 5 5 Mühlenstr. 20, 24143 Kiel
10.07314 54.33039 71 8 8 Claus-Sinjen-Str. 10, 24119 Kronshagen
10.12387 54.40319 76 16 16 Ahornallee 8, 24161 Altenholz
10.06097 54.26703 71 13 13 Dorfstr. 15, 24113 Molfsee
10.05681 54.34084 78 11 11 Auberg 3, 24107 Ottendorf
10.21298 54.32058 74 14 14 Ostanger 5, 24149 Kiel
10.18037 54.29065 73 11 11 Elmschenhagener Allee 21, 24146 Kiel
10.16909 54.39902 74 16 16 Friedrichsorter Str. 33, 24159 Kiel
10.11344 54.29882 73 7 7 Pappel-Weg 1, 24113 Kiel
10.12881 54.28312 75 7 7 Vörstkoppel 1, 24145 Kiel
10.11477 54.36835 71 11 11 Uferstr. 78, 24106 Kiel
10.12319 54.3053 69 3 3 Stormarnstr. 4, 24113 Kiel
10.12319 54.3053 78 3 3 Stormarnstr. 4, 24113 Kiel
10.10932 54.29394 73 7 7 Brüggerfelde 21, 24113 Kiel
10.055 54.33366 80 12 12 Lofotenweg 192, 24109 Kiel
10.05593 54.34134 68 11 11 Kiewittsholm 1, 24107 Ottendorf
10.13135 54.31755 78 1 1 Herzog-Friedrich-Str. 2, 24103 Kiel
10.0968 54.3063 70 8 8 Uhlenkrog 1, 24113 Kiel
10.06867 54.31517 75 9 9 Haßloh 1, 24109 Kiel
10.14429 54.30704 82 4 4 Preetzer Str. 33, 24143 Kiel
10.19396 54.32356 73 11 11 Raisdorfer Str. 12, 24148 Kiel
10.18658 54.28481 67 11 11 Pottberg 12, 24146 Kiel
10.17981 54.3254 77 10 10 Schönberger Str. 68, 24148 Kiel
10.06794 54.29096 79 12 12 Tannenholz 2, 24113 Kiel
10.06143 54.31706 78 9 9 Hofholzallee 246, 24109 Kiel
10.06119 54.26654 70 13 13 Dorfstr. 20, 24113 Molfsee
10.0998 54.35581 82 10 10 Elfriede-Dietrich-Str. 32, 24106 Kiel
10.07275 54.28245 80 11 11 Mielkendorfer Weg 19, 24113 Molfsee
10.04918 54.326 82 11 11 Helsinkistr. 1, 24109 Kiel
10.07585 54.32872 67 8 8 Hofbrook 36, 24119 Kronshagen
10.07413 54.30742 74 11 11 Wannseebogen 32, 24111 Kiel
10.04918 54.326 69 11 11 Helsinkistr. 1, 24109 Kiel
10.06082 54.26102 77 13 13 Bornkrugsweg 1, 24113 Molfsee
10.11887 54.40603 79 17 17 Moorredder 46, 24161 Altenholz
10.15957 54.29209 83 8 8 Segeberger Landstr. 61, 24145 Kiel
10.13816 54.3723 79 12 12 Eckenerplatz 2, 24159 Kiel
10.15399 54.39542 84 16 16 Wagnerring 54, 24159 Kiel
10.1321 54.33908 74 4 4 Im Brauereiviertel 24, 24118 Kiel
10.13996 54.33598 75 3 3 Feldstr. 40, 24105 Kiel
10.09014 54.31976 77 6 6 Hofholzallee 16, 24109 Kiel
10.09441 54.30847 77 9 9 Hedenholz 13, 24113 Kiel
10.04635 54.31902 68 10 10 Fanöweg 1, 24109 Kiel
10.15589 54.39339 78 16 16 Buschblick 39, 24159 Kiel
10.11103 54.2779 74 10 10 Wendenweg 15, 24145 Kiel
10.19634 54.32294 78 11 11 Rosenfelder Str. 20, 24148 Kiel
10.17931 54.33219 71 12 12 Schwentinestr. 22, 24149 Kiel
10.02739 54.31864 79 10 10 Karkkamp 15, 24109 Melsdorf
10.08486 54.3616 80 11 11 Sukoring 61, 24107 Kiel
10.11778 54.40472 76 16 16 Peerkoppel 19, 24161 Altenholz
10.07643 54.36549 69 12 12 Ostseestr. 109, 24107 Kiel
10.17081 54.41341 83 18 18 Graf-Luckner-Str. 2, 24159 Kiel
10.05873 54.25844 74 13 13 Möwenstr. 28, 24113 Molfsee
10.16011 54.39885 70 18 18 Wilhelm-Lobsien-Weg 8, 24159 Kiel
10.13646 54.30233 68 5 5 Diedrichstr. 1, 24143 Kiel
10.18587 54.33875 68 12 12 Georgstr. 61, 24149 Kiel
10.08884 54.31972 78 6 6 Hofholzallee 22, 24109 Kiel
10.16413 54.38679 78 14 14 Prieser Strand 15, 24159 Kiel
10.10078 54.34216 82 7 7 Eckernförder Str. 273, 24119 Kronshagen
10.13028 54.34231 77 4 4 Hardenbergstr. 49, 24118 Kiel
10.11165 54.32187 75 4 4 Westring 202, 24116 Kiel
10.14535 54.33865 76 4 4 Moltkestr. 28, 24105 Kiel
10.14162 54.29964 76 6 6 Sieversdiek 43, 24143 Kiel
10.13663 54.35761 76 8 8 Heiligendammer Str. 15, 24106 Kiel
10.08028 54.36105 71 10 10 Von-der-Wisch-Str. 23, 24107 Kiel
10.07203 54.35186 68 11 11 Steinberg 12, 24107 Kiel
10.16793 54.31523 68 7 7 Ostring 324, 24148 Kiel
9.98801 54.34464 76 17 17 Am Fährberg 36, 24107 Quarnbek
10.10966 54.32519 83 4 4 Nietzschestr. 5, 24116 Kiel
10.14995 54.31328 74 6 6 Jaegerstr. 16, 24143 Kiel
10.1899 54.33742 68 11 11 Langer Rehm 41, 24149 Kiel
10.07517 54.32842 68 9 9 Hofbrook 38, 24119 Kronshagen
10.14028 54.27872 70 8 8 Barkauer Str. 119, 24145 Kiel
10.12016 54.31509 79 4 4 Hasselmannstr. 12, 24114 Kiel
10.12043 54.32844 83 4 4 Theodor-Storm-Str. 4, 24116 Kiel
10.13462 54.338 70 3 3 Düppelstr. 82, 24105 Kiel
10.107 54.31073 71 5 5 Saarbrückenstr. 98, 24114 Kiel
10.07199 54.28095 74 11 11 Rammseer Weg 51, 24113 Molfsee
10.11165 54.32187 70 4 4 Westring 202, 24116 Kiel
10.10072 54.33262 68 5 5 Eschenkamp 2, 24119 Kronshagen
10.1749 54.31802 74 9 9 Hagener Str. 16, 24148 Kiel
10.08662 54.35917 75 11 11 Alter Steenbeker Weg 27, 24107 Kiel
10.15013 54.39956 68 16 16 Friedrichsruher Weg 198, 24159 Kiel
10.17973 54.39752 71 17 17 Brauner Berg 4, 24159 Kiel
10.1171 54.33215 79 3 3 Petersweg 1, 24116 Kiel
10.13843 54.30818 68 4 4 Werftstr. 245, 24143 Kiel
10.14794 54.34518 84 6 6 Linden-Allee 16, 24105 Kiel
10.07655 54.30832 84 11 11 Grünauzeile 1, 24111 Kiel
10.14053 54.31631 76 5 5 Norwegenkai 1, 24143 Kiel
10.18721 54.28723 78 10 10 Illerweg 24, 24146 Kiel
10.19195 54.32484 71 11 11 Passader Str. 16, 24148 Kiel
10.10675 54.33727 69 6 6 Eckernförder Str. 201, 24119 Kronshagen
9.98639 54.33179 69 15 15 Am Breitschlag 9, 24107 Quarnbek
10.17617 54.31913 82 8 8 Hagener Str. 2, 24148 Kiel
10.09994 54.39627 67 16 16 Gut Friedrichshof 3, 24161 Altenholz
10.18493 54.3338 68 13 13 Hertzstr. 22, 24149 Kiel
10.07486 54.30544 69 13 13 Grunewaldstr. 14, 24111 Kiel
10.17928 54.39277 76 16 16 Poststr. 1, 24159 Kiel
10.19837 54.27801 73 14 14 Rönner Weg 82, 24146 Kiel
10.14377 54.32711 73 2 2 Schlossgarten 14, 24103 Kiel
10.18619 54.30578 77 11 11 Böttgersberg 6, 24147 Kiel
10.19645 54.27704 80 14 14 Sprosserpfad 15, 24146 Kiel
10.11544 54.35442 80 8 8 Steenbeker Weg 33, 24106 Kiel
10.07196 54.27772 74 13 13 Barstenkamp 41, 24113 Molfsee
10.12858 54.31103 75 2 2 Gablenzstr. 1, 24114 Kiel
10.13868 54.36025 68 8 8 Rostocker Str. 2, 24106 Kiel
10.15926 54.40405 79 15 15 Hof Pries 9, 24159 Kiel
10.12455 54.40492 79 15 15 Ginsterweg 1, 24161 Altenholz
10.10075 54.30818 71 6 6 Saarbrückenstr. 177, 24113 Kiel
10.12551 54.35445 82 7 7 Elendsredder 24, 24106 Kiel
10.14367 54.28467 80 7 7 Kuhlacker 32, 24145 Kiel
10.18651 54.25719 73 14 14 Heidenstein 2, 24145 Kiel
10.13008 54.38167 75 13 13 Danziger Str. 30, 24161 Altenholz
10.07099 54.30466 80 11 11 Am Blöcken 69, 24111 Kiel
10.13103 54.32683 70 2 2 Gartenstr. 25, 24103 Kiel
10.04813 54.3273 84 12 12 Turkuring 30, 24109 Kiel
10.06975 54.28954 75 12 12 Am Voßberg 12, 24113 Kiel
10.0783 54.28755 70 12 12 Dorfstede 10, 24113 Molfsee
10.17085 54.42594 80 19 19 Kurallee 1, 24159 Kiel
10.03244 54.31418 70 9 9 Rotenhofer Weg 10, 24109 Melsdorf
10.08034 54.359 68 10 10 Sylter Bogen 1, 24107 Kiel
10.11483 54.32562 68 3 3 Westring 250, 24116 Kiel
10.17566 54.41572 83 19 19 Seeadlerweg 27, 24159 Kiel
10.13128 54.34438 70 5 5 Kleiststr. 39, 24118 Kiel
10.07028 54.35421 69 11 11 Horstblick 1, 24107 Kiel
10.12085 54.35875 83 8 8 Flensburger Str. 67, 24106 Kiel
10.20173 54.335 83 13 13 Ristblick 1, 24149 Kiel
10.14989 54.40032 74 15 15 Friedrichsruher Weg 200, 24159 Kiel
10.12551 54.3117 78 2 2 Königsweg 76, 24114 Kiel
10.15759 54.39845 82 14 14 Ottomar-Enking-Str. 111, 24159 Kiel
10.10226 54.34556 68 7 7 Johann-Fleck-Str. 6, 24118 Kiel
10.11266 54.31501 79 4 4 Calvinstr. 9, 24114 Kiel
10.12432 54.40815 67 16 16 Dorfkoppel 2, 24161 Altenholz
10.02111 54.34166 82 14 14 Gartenkamp 2, 24107 Quarnbek
10.08873 54.28913 75 8 8 Hamburger Landstr. 4, 24113 Molfsee
10.07632 54.35126 77 10 10 Rotenbek 23, 24107 Kiel
10.12353 54.30256 78 4 4 Alte Eichen 19, 24113 Kiel
10.12879 54.37004 77 11 11 Geheimrat-Schultz-Weg 14, 24159 Kiel
10.16518 54.40207 82 15 15 Friedrichsorter Str. 64, 24159 Kiel
10.14131 54.28559 77 7 7 Fettberg 1, 24145 Kiel
10.14341 54.37491 74 13 13 Herwarthstr. 5, 24159 Kiel
