1001
10.13847 54.32255 0 0 0 Holstenstr. 12, 24103 Kiel
10.08801 54.34027 88 7 7 Fußsteigkoppel 1, 24119 Kronshagen
10.13637 54.38818 75 13 13 Allensteiner Weg 35, 24161 Altenholz
10.17029 54.32362 75 8 8 Schönberger Str. 143, 24148 Kiel
10.14006 54.33543 81 3 3 Feldstr. 38, 24105 Kiel
10.16533 54.31335 75 7 7 Plöner Str. 48, 24148 Kiel
10.09333 54.34478 91 7 7 Albert-Schweitzer-Str. 6, 24119 Kronshagen
10.0913 54.33278 85 6 6 Hasselkamp 56, 24119 Kronshagen
10.17536 54.39107 90 15 15 Christianspries 5, 24159 Kiel
9.98814 54.34189 90 17 17 Ginsterbusch 2, 24107 Quarnbek
10.07326 54.36215 91 11 11 Pellwormer Weg 4, 24107 Kiel
10.18076 54.33166 91 12 12 Nanthingasse 2, 24149 Kiel
10.13487 54.39909 88 15 15 Aukamp 67, 24161 Altenholz
10.08687 54.32821 76 7 7 Bürgermeister-Drews-Str. 47, 24119 Kronshagen
10.0288 54.31411 77 10 10 Am Dörpsdiek 35, 24109 Melsdorf
10.14613 54.315 82 6 6 Schulstr. 2, 24143 Kiel
10.11389 54.31367 83 4 4 Brunsrade 4, 24114 Kiel
10.13416 54.3881 79 12 12 Elbinger Weg 37, 24161 Altenholz
10.12999 54.35052 92 6 6 Heider Str. 27, 24106 Kiel
9.99284 54.34124 85 17 17 Mönkbergseck 16, 24107 Quarnbek
10.13809 54.32804 83 2 2 Blocksberg 1, 24103 Kiel
10.07019 54.29558 90 14 14 Am Waldrand 1, 24113 Kiel
10.07312 54.31419 83 9 9 Melsdorfer Str. 73, 24109 Kiel
10.09775 54.35741 80 10 10 Steenbeker Weg 193, 24106 Kiel
10.12546 54.32077 80 2 2 Adelheidstr. 26, 24103 Kiel
10.17813 54.31886 91 8 8 Klausdorfer Weg 163, 24148 Kiel
10.04793 54.29894 83 10 10 Hinter Bramberg 30, 24109 Melsdorf
10.11215 54.32344 85 4 4 Westring 227, 24116 Kiel
10.08509 54.34725 81 10 10 Holmredder 177, 24107 Kiel
10.10226 54.30592 90 6 6 Gärtnerstr. 32, 24113 Kiel
10.17165 54.39579 75 17 17 Waldemar-Bonsels-Str. 8, 24159 Kiel
10.13215 54.33078 80 2 2 Holtenauer Str. 20, 24105 Kiel
10.14076 54.37168 75 12 12 Schwester-Therese-Str. 13, 24159 Kiel
10.13901 54.30742 91 4 4 Preetzer Str. 2, 24143 Kiel
10.11517 54.32157 85 3 3 Hasseldieksdammer Weg 27, 24116 Kiel
10.0568 54.30175 79 10 10 Rendsburger Landstr. 444, 24111 Kiel
10.13079 54.35538 75 6 6 Holtenauer Str. 299, 24106 Kiel
10.1228 54.32365 86 3 3 Sternstr. 21, 24103 Kiel
10.11594 54.32615 79 4 4 Spichernstr. 10, 24116 Kiel
10.19416 54.27584 88 14 14 Bachstelzenweg 20, 24146 Kiel
10.12711 54.32451 76 2 2 Damperhofstr. 4, 24103 Kiel
10.12216 54.40894 86 16 16 Freesenberg 90, 24161 Altenholz
10.08987 54.29598 79 9 9 Speckenbeker Weg 122, 24113 Kiel
10.08915 54.2995 87 8 8 Rendsburger Landstr. 218, 24113 Kiel
10.15632 54.39775 75 14 14 Händelweg 65, 24159 Kiel
10.16915 54.42178 87 18 18 Schlimbachallee 26, 24159 Kiel
10.09419 54.34971 83 8 8 Klausbrooker Weg 5, 24107 Kiel
10.07088 54.36091 83 13 13 Nordseestr. 108, 24107 Kiel
10.15616 54.3953 80 15 15 Wagnerring 128, 24159 Kiel
10.1228 54.3234 75 2 2 Eckernförder Str. 30, 24103 Kiel
10.19457 54.32906 86 10 10 Schönkirchener Str. 47, 24149 Kiel
10.13797 54.32327 76 1 1 Kehdenstr. 2, 24103 Kiel
10.07942 54.35012 85 10 10 Wetterbek 1, 24107 Kiel
10.07416 54.31589 88 9 9 Melsdorfer Str. 45, 24109 Kiel
10.1674 54.28786 85 9 9 Schoolkamp 1, 24145 Kiel
9.99556 54.34168 80 18 18 Toweddern 33, 24107 Quarnbek
10.09284 54.31194 79 8 8 Rodenbeker Weg 5, 24113 Kiel
10.11758 54.32118 87 3 3 Bellmannstr. 2, 24114 Kiel
10.1316 54.37249 87 11 11 Gravensteiner Str. 12, 24159 Kiel
10.04157 54.33977 82 12 12 Rammskrug 8, 24107 Ottendorf
10.13557 54.33725 83 3 3 Gerhardstr. 62, 24105 Kiel
10.1745 54.4141 81 18 18 Graf-Luckner-Str. 31, 24159 Kiel
10.15004 54.30906 77 5 5 Helmholtzstr. 19, 24143 Kiel
10.19146 54.29165 74 10 10 Troppauer Str. 39, 24146 Kiel
10.10198 54.3366 87 5 5 Zum Posthorn 1, 24119 Kronshagen
10.07139 54.33397 85 10 10 Freesenhof 9, 24119 Kronshagen
10.06782 54.35595 90 12 12 Pferdehof 10, 24107 Kiel
10.17166 54.39893 90 16 16 Brammerkamp 14, 24159 Kiel
10.07101 54.3567 85 13 13 Rethbruch 3, 24107 Kiel
10.13555 54.33227 91 2 2 Gerhardstr. 8, 24105 Kiel
10.21288 54.31986 81 14 14 Kiebitzbek 45, 24149 Kiel
10.08848 54.35369 88 8 8 Eckernförder Str. 364, 24107 Kiel
10.12246 54.28391 74 7 7 Kieler Weg 73, 24145 Kiel
10.15999 54.27774 77 10 10 Edisonstr. 44, 24145 Kiel
10.11699 54.29929 82 6 6 Krummbogen 21, 24113 Kiel
10.13997 54.31318 90 5 5 Werftstr. 191, 24143 Kiel
10.15148 54.33532 85 3 3 Düsternbrooker Weg 75, 24105 Kiel
10.04224 54.33941 88 13 13 Rammskrug 2, 24107 Ottendorf
10.17864 54.39242 77 16 16 Werner-Siemens-Str. 5, 24159 Kiel
10.13311 54.38609 85 12 12 Stifter Allee 21, 24161 Altenholz
10.12656 54.31964 82 1 1 Prüne 18, 24103 Kiel
10.12557 54.32612 74 2 2 Klopstockstr. 15, 24103 Kiel
10.12994 54.34076 79 4 4 Niebuhrstr. 24, 24118 Kiel
10.06317 54.29289 80 14 14 Wiepenkrog 87, 24113 Kiel
10.14598 54.3065 77 5 5 Iltisstr. 74, 24143 Kiel
10.09767 54.31929 92 5 5 Diekweg 3, 24114 Kiel
10.07116 54.26491 87 12 12 Eiderblick 2, 24113 Molfsee
10.07116 54.26491 79 12 12 Eiderblick 2, 24113 Molfsee
10.18718 54.33071 80 11 11 Probsteier Platz 11, 24149 Kiel
10.07093 54.31393 79 9 9 Martenshofweg 104, 24109 Kiel
10.07294 54.35283 92 11 11 Steinberg 34, 24107 Kiel
10.08304 54.33568 79 8 8 Meddagskamp 31, 24119 Kronshagen
10.13836 54.28097 92 8 8 Drosselstieg 1, 24145 Kiel
10.14153 54.28896 88 7 7 Fahrenkuhl 2, 24145 Kiel
10.15451 54.30977 79 6 6 Stoschstr. 43, 24143 Kiel
10.07706 54.35152 87 10 10 Rotenbek 13, 24107 Kiel
10.19198 54.28 82 12 12 Fliederweg 2, 24146 Kiel
10.11235 54.36009 79 9 9 Projensdorfer Str. 207, 24106 Kiel
10.07264 54.33781 92 11 11 Apenrader Weg 2, 24119 Kronshagen
10.11859 54.33238 82 3 3 Gutenbergstr. 62, 24118 Kiel
9.96837 54.32148 88 16 16 Am Ringkanal 3, 24107 Quarnbek
10.14714 54.39729 86 15 15 Friedrichsruher Weg 149, 24159 Kiel
10.15572 54.27284 91 9 9 Ottostr. 10, 24145 Kiel
10.07707 54.33527 81 9 9 Zu den Eichen 1, 24119 Kronshagen
10.12821 54.31779 86 1 1 Kirchhofallee 1, 24103 Kiel
10.1315 54.3652 90 9 9 Schleusenstr. 30, 24106 Kiel
10.16513 54.31091 75 8 8 Sören 2, 24148 Kiel
10.08131 54.33581 81 9 9 Steindamm 15, 24119 Kronshagen
10.14591 54.33149 80 3 3 Schwanenweg 16, 24105 Kiel
10.11903 54.40319 87 17 17 Rehwinkel 20, 24161 Altenholz
10.17322 54.41292 87 18 18 Robbenweg 1, 24159 Kiel
10.10873 54.32053 83 4 4 Robert-Koch-Str. 39, 24116 Kiel
10.16074 54.2934 83 9 9 Ostpreußenweg 8, 24145 Kiel
10.08808 54.35575 75 9 9 Lärchenweg 4, 24107 Kiel
10.08471 54.36225 74 13 13 Sukoring 47, 24107 Kiel
10.1871 54.29332 83 9 9 Joachimsthaler Weg 1, 24146 Kiel
10.11514 54.37263 76 13 13 Knooper Landstr. 16, 24161 Altenholz
10.0684 54.27631 90 12 12 Osterberg 8, 24113 Molfsee
10.14191 54.34391 88 5 5 Graf-Spee-Str. 52, 24105 Kiel
10.11146 54.34255 88 6 6 Olshausenstr. 71, 24118 Kiel
10.11449 54.33279 90 4 4 Gutenbergstr. 80, 24118 Kiel
10.12798 54.39777 86 14 14 Niekoppel 7, 24161 Altenholz
10.07472 54.3201 83 8 8 Melsdorfer Str. 11, 24109 Kiel
10.14226 54.33948 80 4 4 Wrangelstr. 4, 24105 Kiel
10.13663 54.32776 91 1 1 Blocksberg 21, 24103 Kiel
10.13673 54.32191 76 0 0 Holstenbrücke 12, 24103 Kiel
10.06989 54.35207 90 12 12 Bauernfeld 44, 24107 Kiel
10.12748 54.32515 77 2 2 Knooper Weg 49, 24103 Kiel
10.10603 54.35567 90 9 9 Torfende 1, 24106 Kiel
10.07034 54.30056 87 10 10 Rendsburger Landstr. 372, 24111 Kiel
10.17637 54.325 81 9 9 Kuchelstr. 27, 24148 Kiel
10.13099 54.38528 80 13 13 Posener Str. 7, 24161 Altenholz
10.13402 54.36285 88 8 8 Am Kiel-Kanal 1, 24106 Kiel
10.09931 54.34351 87 6 6 Eckernförder Str. 256, 24119 Kronshagen
10.11483 54.35887 88 8 8 Projensdorfer Str. 181, 24106 Kiel
10.12279 54.33385 88 3 3 Westring 341, 24118 Kiel
10.13896 54.37055 75 12 12 Kanalstr. 26, 24159 Kiel
10.14225 54.32225 88 0 0 Flämische Str. 22, 24103 Kiel
10.10474 54.29674 86 7 7 Baumweg 1, 24113 Kiel
10.14909 54.31208 80 5 5 Kaiserstr. 31, 24143 Kiel
10.13607 54.34419 90 5 5 Blücherstr. 14, 24105 Kiel
10.06532 54.27856 79 12 12 Wollbergsredder 20, 24113 Molfsee
10.16937 54.31383 91 7 7 Franziusallee 127, 24148 Kiel
10.13907 54.2845 85 7 7 Reesenberg 23, 24145 Kiel
10.04719 54.31235 82 11 11 Jütlandring 176, 24109 Kiel
10.11564 54.3327 82 3 3 Gutenbergstr. 76, 24118 Kiel
10.10437 54.30946 87 5 5 Saarbrückenstr. 142, 24113 Kiel
10.107 54.31073 90 5 5 Saarbrückenstr. 98, 24114 Kiel
10.12685 54.30037 88 5 5 Spolertstr. 7, 24113 Kiel
10.16645 54.28115 87 10 10 Segeberger Landstr. 201, 24145 Kiel
9.98985 54.33995 85 17 17 Sturenberg 31, 24107 Quarnbek
10.10861 54.29849 85 7 7 Heckenrosenweg 11, 24113 Kiel
10.1085 54.30408 81 5 5 Wulfsbrook 17, 24113 Kiel
10.10472 54.30776 77 6 6 Christianistr. 16, 24113 Kiel
10.10357 54.3075 85 6 6 Christianistr. 83, 24113 Kiel
10.13357 54.34085 76 4 4 Holtenauer Str. 172, 24105 Kiel
10.07319 54.36295 76 11 11 Alte Chaussee 1, 24107 Kiel
10.17971 54.32532 85 9 9 Schönberger Str. 63, 24148 Kiel
10.14332 54.34934 82 7 7 Niemannsweg 220, 24106 Kiel
10.10211 54.35131 83 10 10 Tönniesstr. 1, 24106 Kiel
10.06868 54.2664 75 11 11 Kolberg 2, 24113 Molfsee
10.07496 54.33829 90 9 9 Kurt-Tucholsky-Weg 1, 24119 Kronshagen
10.14109 54.3252 83 1 1 Alte Feuerwache 3, 24103 Kiel
10.1282 54.31753 85 1 1 Königsweg 1, 24103 Kiel
10.14225 54.32225 81 0 0 Flämische Str. 22, 24103 Kiel
10.05878 54.30315 82 10 10 Rendsburger Landstr. 440, 24111 Kiel
10.10193 54.31938 87 4 4 Hasseldieksdammer Weg 165, 24116 Kiel
10.13188 54.38535 88 12 12 Danziger Str. 3, 24161 Altenholz
10.18934 54.31474 79 10 10 Klausdorfer Weg 267, 24148 Kiel
10.07707 54.27887 77 12 12 Rammseer Weg 9, 24113 Molfsee
10.12747 54.35459 82 7 7 Elendsredder 20, 24106 Kiel
10.16909 54.31321 80 8 8 Posadowskystr. 7, 24148 Kiel
10.13231 54.37327 79 10 10 Gravensteiner Str. 1, 24159 Kiel
10.07311 54.27771 83 12 12 Barstenkamp 26, 24113 Molfsee
10.17343 54.29463 90 8 8 Schlehenkamp 1, 24146 Kiel
10.19925 54.31834 85 12 12 Benzstr. 10, 24148 Kiel
10.16887 54.42627 87 19 19 Starweg 2, 24159 Kiel
10.11589 54.31662 91 3 3 Boiestr. 2, 24114 Kiel
10.17497 54.39115 90 16 16 Christianspries 7, 24159 Kiel
10.11868 54.3229 82 3 3 Chemnitzstr. 40, 24116 Kiel
10.15219 54.33565 81 4 4 Düsternbrooker Weg 82, 24105 Kiel
10.14952 54.33605 91 3 3 Luisenweg 12, 24105 Kiel
10.1429 54.27869 82 8 8 Braunstr. 7, 24145 Kiel
10.11648 54.30488 76 4 4 Hamburger Chaussee 78, 24113 Kiel
10.10988 54.27773 76 10 10 Wendenweg 22, 24145 Kiel
10.01921 54.31456 88 11 11 Moorblöcken 6, 24109 Melsdorf
10.1337 54.33877 90 4 4 Holtenauer Str. 150, 24105 Kiel
10.17815 54.29944 83 8 8 Ellerbeker Weg 28, 24147 Kiel
10.10713 54.32409 76 5 5 Hegelstr. 1, 24116 Kiel
10.17007 54.31155 86 8 8 Federmannstr. 14, 24148 Kiel
10.13961 54.32835 86 2 2 Brunswiker Str. 24, 24105 Kiel
10.19024 54.31574 81 11 11 Klausdorfer Weg 277, 24148 Kiel
10.13674 54.28843 80 6 6 Poppenbrügger Weg 10, 24145 Kiel
10.20062 54.32159 76 11 11 Wehdenweg 115, 24148 Kiel
10.16216 54.31097 79 8 8 Erich-Kästner-Weg 55, 24143 Kiel
10.19191 54.28363 74 12 12 Rönner Weg 32, 24146 Kiel
10.08808 54.35575 87 9 9 Lärchenweg 4, 24107 Kiel
10.10249 54.34801 79 9 9 Baumgartenstr. 3, 24106 Kiel
10.08665 54.32987 77 7 7 Seilerei 16, 24119 Kronshagen
10.11672 54.39832 75 15 15 Klausdorfer Str. 68, 24161 Altenholz
10.12895 54.3343 87 3 3 Alsenstr. 2, 24118 Kiel
10.12949 54.3986 91 14 14 Ohlandbogen 23, 24161 Altenholz
10.18853 54.27546 85 13 13 Hof Kroog 2, 24146 Kiel
10.17195 54.2936 85 8 8 Ginsterbusch 2, 24146 Kiel
10.11215 54.32344 79 4 4 Westring 227, 24116 Kiel
10.17701 54.29622 79 9 9 Preetzer Chaussee 132, 24146 Kiel
10.1568 54.40369 80 16 16 Dorf 10, 24159 Kiel
10.10123 54.34902 91 8 8 Jacobystr. 6, 24106 Kiel
10.08579 54.33536 80 9 9 Meddagskamp 1, 24119 Kronshagen
10.05666 54.30165 75 10 10 Rendsburger Landstr. 433, 24111 Kiel
10.1125 54.34187 81 5 5 Olshausenstr. 65, 24118 Kiel
10.07151 54.35321 77 12 12 Butten 36, 24107 Kiel
10.15636 54.39256 88 16 16 Buschblick 23, 24159 Kiel
10.10302 54.31277 92 6 6 Mettlachstr. 49, 24114 Kiel
10.08066 54.33759 76 9 9 Eichkoppelweg 10, 24119 Kronshagen
