1501
10.13847 54.32255 0 0 0 Holstenstr. 12, 24103 Kiel
10.17677 54.2919 62 9 9 Elmschenhagener Allee 1, 24146 Kiel
10.20498 54.28839 59 13 13 Werdenfelser Str. 7, 24146 Kiel
10.08956 54.31974 53 7 7 Hofholzallee 20, 24109 Kiel
10.11833 54.32652 55 3 3 Metzstr. 3, 24116 Kiel
10.15387 54.40229 62 16 16 Friedrichsruher Weg 233, 24159 Kiel
10.11789 54.40593 55 16 16 Moorredder 27, 24161 Altenholz
10.15989 54.39606 60 15 15 Brahmsweg 15, 24159 Kiel
10.13102 54.31877 53 1 1 Hopfenstr. 67, 24103 Kiel
10.13007 54.33746 52 3 3 Olshausenstr. 10, 24118 Kiel
10.01941 54.34183 59 14 14 Plattenberg 17, 24107 Quarnbek
10.07295 54.27846 59 12 12 Barstenkamp 28, 24113 Molfsee
10.11567 54.3194 52 4 4 Paul-Fleming-Str. 6, 24114 Kiel
10.17497 54.39115 57 16 16 Christianspries 7, 24159 Kiel
10.03064 54.31794 61 10 10 Dorfstr. 9, 24109 Melsdorf
10.08559 54.35324 59 9 9 Klinkerwisch 51, 24107 Kiel
10.15362 54.25719 54 10 10 Zum Schlüsbeker Moor 54, 24145 Kiel
10.12138 54.3345 52 3 3 Groß-Kielstein 1, 24118 Kiel
10.01761 54.31522 56 11 11 Dorfstr. 73, 24109 Melsdorf
10.12487 54.37552 55 12 12 Am Jägersberg 11, 24161 Altenholz
10.17413 54.30852 52 9 9 Tröndelweg 35, 24148 Kiel
10.08287 54.33327 61 7 7 Wendenstr. 16, 24119 Kronshagen
10.08024 54.30586 52 11 11 Britzweg 1, 24111 Kiel
10.12938 54.3472 58 5 5 Eduard-Adler-Str. 10, 24106 Kiel
10.07277 54.27332 52 12 12 Am Museum 13, 24113 Molfsee
10.12887 54.4067 62 16 16 Alter Kieler Weg 1, 24161 Altenholz
10.12984 54.33508 58 3 3 Knooper Weg 141, 24118 Kiel
10.05048 54.31986 59 10 10 Skandinaviendamm 301, 24109 Kiel
10.11182 54.29681 58 7 7 Hagebuttenstr. 4, 24113 Kiel
10.08638 54.35299 52 9 9 Klinkerwisch 75, 24107 Kiel
10.07758 54.28177 62 10 10 Mielkendorfer Weg 1, 24113 Molfsee
10.01941 54.34183 52 14 14 Plattenberg 17, 24107 Quarnbek
10.09698 54.34172 52 7 7 Möllerstr. 14, 24119 Kronshagen
10.03152 54.31509 52 10 10 Schmiedekoppel 7, 24109 Melsdorf
10.07835 54.35407 60 11 11 Nienbrügger Weg 47, 24107 Kiel
10.12753 54.35325 52 7 7 Husumer Weg 2, 24106 Kiel
10.06662 54.27737 64 12 12 Osterberg 16, 24113 Molfsee
10.10199 54.34121 64 6 6 Eckernförder Str. 261, 24119 Kronshagen
10.07171 54.36411 58 12 12 Alte Chaussee 22, 24107 Kiel
10.07341 54.32761 57 9 9 Hofbrook 58, 24119 Kronshagen
10.1045 54.34748 59 7 7 Olshausenstr. 79, 24106 Kiel
10.13496 54.28806 52 6 6 Poppenbrügger Weg 2, 24145 Kiel
10.03273 54.32234 57 11 11 Kählenweg 11, 24109 Melsdorf
10.07126 54.36119 53 13 13 Pellwormer Weg 55, 24107 Kiel
10.08344 54.35438 58 9 9 Nienbrügger Weg 23, 24107 Kiel
10.18028 54.32567 62 9 9 Wischhofstr. 59, 24148 Kiel
10.09608 54.34762 59 7 7 Vulkanweg 2, 24119 Kronshagen
10.16288 54.30831 57 9 9 Poppenrade 53, 24148 Kiel
10.08486 54.3616 55 11 11 Sukoring 61, 24107 Kiel
10.07276 54.32716 64 9 9 Platanenring 45, 24119 Kronshagen
10.10896 54.3504 59 8 8 Bremerskamp 55, 24106 Kiel
10.08344 54.30065 61 9 9 Bruxer Weg 1, 24111 Kiel
10.07101 54.29276 52 13 13 Wiepenkrog 54, 24113 Kiel
10.12236 54.3065 63 3 3 Hamburger Chaussee 31, 24113 Kiel
10.12804 54.3841 64 13 13 Posener Str. 39, 24161 Altenholz
10.07295 54.27846 56 12 12 Barstenkamp 28, 24113 Molfsee
10.14894 54.31135 61 6 6 Stoschstr. 1, 24143 Kiel
10.15975 54.39892 53 18 18 Wilhelm-Lobsien-Weg 10, 24159 Kiel
10.17605 54.26903 53 12 12 Götenhof 1, 24145 Kiel
10.08065 54.33638 58 9 9 Holländerey 12, 24119 Kronshagen
10.16821 54.30038 56 8 8 Großer Kamp 63, 24147 Kiel
10.11011 54.29235 62 7 7 Petersburger Weg 101, 24113 Kiel
10.1706 54.32297 53 9 9 Havemeisterstr. 6, 24148 Kiel
10.06666 54.3067 53 11 11 Klosterkamp 12, 24111 Kiel
10.1219 54.40185 54 15 15 Linden-Allee 40, 24161 Altenholz
10.11982 54.35488 59 9 9 Projensdorfer Str. 142, 24106 Kiel
10.17835 54.41406 59 19 19 Rudergang 40, 24159 Kiel
10.18286 54.41184 65 19 19 Palisadenweg 171, 24159 Kiel
10.16511 54.30163 61 7 7 Kreuzkamp 9, 24147 Kiel
10.12782 54.31454 60 2 2 Hopfenstr. 2, 24114 Kiel
10.14377 54.32711 61 2 2 Schlossgarten 14, 24103 Kiel
10.12685 54.30037 55 5 5 Spolertstr. 7, 24113 Kiel
10.08271 54.28296 59 10 10 Waldblick 15, 24113 Molfsee
10.09004 54.35604 65 9 9 Schneiderkamp 22, 24107 Kiel
10.12864 54.31249 60 2 2 Sophienblatt 33, 24114 Kiel
10.08301 54.36193 52 11 11 Wippen 1, 24107 Kiel
10.1305 54.37101 56 11 11 Gravensteiner Str. 99, 24159 Kiel
10.17017 54.31386 64 8 8 Lütjenburger Str. 7, 24148 Kiel
10.15884 54.39565 52 15 15 Beethovenweg 9, 24159 Kiel
10.08172 54.30569 54 13 13 Wilmersdorfer Str. 113, 24111 Kiel
10.17156 54.41943 55 17 17 Langenfelde 83, 24159 Kiel
10.04834 54.32783 52 12 12 Turkuring 19, 24109 Kiel
10.19123 54.29122 54 10 10 Marienbader Str. 38, 24146 Kiel
10.17634 54.32713 59 10 10 Brückenstr. 8, 24148 Kiel
10.169 54.32309 57 9 9 Schönberger Str. 155, 24148 Kiel
10.17497 54.32776 52 10 10 Brückenstr. 22, 24148 Kiel
10.05348 54.3324 65 12 12 Lofotenweg 58, 24109 Kiel
10.17557 54.39552 53 17 17 Brauner Berg 2, 24159 Kiel
10.12483 54.40353 53 16 16 Eichenweg 5, 24161 Altenholz
10.14484 54.28341 56 9 9 Hopfenlandsberg 50, 24145 Kiel
10.14207 54.30482 56 5 5 Hofstr. 34, 24143 Kiel
10.13922 54.34705 61 5 5 Feldstr. 172, 24105 Kiel
10.14425 54.35998 62 9 9 Dresdener Str. 71, 24106 Kiel
10.06982 54.30342 52 13 13 Am Blöcken 75, 24111 Kiel
10.13168 54.38643 52 13 13 Ostpreußenplatz 10, 24161 Altenholz
10.09341 54.29189 63 7 7 Hammerbusch 51, 24113 Kiel
10.14387 54.36462 63 10 10 Maklerstr. 17, 24159 Kiel
10.13591 54.34148 55 5 5 Esmarchstr. 58, 24105 Kiel
10.10201 54.37739 64 15 15 Knooper Dorfstr. 2, 24161 Altenholz
10.11615 54.27381 63 10 10 Bokseer Weg 2, 24145 Kiel
10.13549 54.34488 55 5 5 Blücherstr. 24, 24105 Kiel
10.06964 54.36048 59 11 11 Nordseestr. 21, 24107 Kiel
10.06196 54.26295 60 13 13 Möwenstr. 1, 24113 Molfsee
10.14233 54.34143 59 5 5 Esmarchstr. 3, 24105 Kiel
10.13694 54.38553 54 11 11 Dänischenhagener Str. 12, 24161 Altenholz
10.17499 54.42232 55 19 19 Möwenweg 3, 24159 Kiel
10.12365 54.39566 54 14 14 Klintenberg 3, 24161 Altenholz
10.19392 54.27968 52 13 13 Fliederweg 8, 24146 Kiel
10.13663 54.35761 54 8 8 Heiligendammer Str. 15, 24106 Kiel
10.02932 54.31468 64 10 10 Am Dörpsdiek 61, 24109 Melsdorf
10.16806 54.32287 65 8 8 Schönberger Str. 161, 24148 Kiel
10.0789 54.33422 62 9 9 Am Holm 1, 24119 Kronshagen
10.16494 54.31037 53 8 8 De Twiel 2, 24148 Kiel
10.13023 54.38408 63 13 13 Posener Str. 9, 24161 Altenholz
10.16533 54.32365 54 9 9 Julienstr. 11, 24148 Kiel
10.13498 54.39156 55 13 13 Rote Kate 8, 24161 Altenholz
10.13438 54.29026 59 6 6 Kniestr. 21, 24145 Kiel
10.11349 54.31404 59 4 4 Brunsrade 8, 24114 Kiel
10.1149 54.31606 61 3 3 Lutherstr. 30, 24114 Kiel
10.07778 54.28667 53 12 12 Dorfstede 44, 24113 Molfsee
10.19756 54.27662 59 15 15 Rohrsängerweg 25, 24146 Kiel
10.08667 54.28473 57 9 9 Wiesenweg 2, 24113 Molfsee
10.13701 54.32305 63 1 1 Kehdenstr. 15, 24103 Kiel
10.13235 54.28712 58 7 7 Kieler Weg 166, 24145 Kiel
10.15075 54.31343 56 6 6 Kaiserstr. 17, 24143 Kiel
10.21683 54.32045 64 13 13 Oppendorfer Weg 66, 24149 Kiel
10.12688 54.34995 58 6 6 Projensdorfer Str. 51, 24106 Kiel
10.07409 54.27245 59 10 10 Hamburger Landstr. 108, 24113 Molfsee
10.0904 54.32961 64 6 6 Kieler Str. 22, 24119 Kronshagen
10.12305 54.3256 62 3 3 Goethestr. 2, 24116 Kiel
10.13377 54.40056 53 15 15 Aukamp 17, 24161 Altenholz
10.12799 54.33698 53 4 4 Franckestr. 21, 24118 Kiel
10.11285 54.27938 52 10 10 Hortensienstrauch 1, 24145 Kiel
10.0699 54.26579 54 12 12 Kolberg 1, 24113 Molfsee
10.1563 54.40317 64 16 16 Dorf 19, 24159 Kiel
10.16909 54.39902 61 16 16 Friedrichsorter Str. 33, 24159 Kiel
10.18627 54.29671 57 10 10 Tiroler Ring 591, 24147 Kiel
10.12612 54.30923 59 2 2 Sophienblatt 73, 24114 Kiel
10.07898 54.35214 57 10 10 Holmredder 21, 24107 Kiel
10.17607 54.32661 53 9 9 Sohststr. 4, 24148 Kiel
10.12621 54.40139 64 15 15 Linden-Allee 128, 24161 Altenholz
10.18864 54.34131 64 12 12 Langer Rehm 95, 24149 Kiel
10.09316 54.34899 63 7 7 Eckernförder Str. 334, 24107 Kiel
10.10676 54.37467 54 14 14 Knooper Landstr. 17, 24161 Altenholz
10.14309 54.2806 56 9 9 Quersack 5, 24145 Kiel
10.16477 54.40073 59 17 17 Mensingstr. 2, 24159 Kiel
10.11862 54.32752 59 3 3 Eckernförder Str. 83, 24116 Kiel
10.13878 54.34005 64 4 4 Clausewitzstr. 2, 24105 Kiel
10.15173 54.33511 62 3 3 Düsternbrooker Weg 80, 24105 Kiel
10.20041 54.28613 61 12 12 Sonthofener Str. 23, 24146 Kiel
10.06136 54.26193 55 13 13 Möwenstr. 11, 24113 Molfsee
10.16889 54.39683 56 16 16 Gudegastkoppel 7, 24159 Kiel
10.16192 54.28262 59 10 10 Edisonstr. 62, 24145 Kiel
10.18789 54.33755 62 12 12 Wissmannstr. 2, 24149 Kiel
10.13107 54.2866 55 6 6 Kieler Weg 160, 24145 Kiel
10.18726 54.28301 63 11 11 Am Wellsee 42, 24146 Kiel
10.14304 54.3072 60 4 4 Preetzer Str. 18, 24143 Kiel
10.16443 54.31702 54 7 7 Prinzenstr. 20, 24148 Kiel
10.18898 54.29528 55 9 9 Troppauer Str. 3, 24146 Kiel
10.00621 54.34404 54 16 16 Schmiedeberg 1, 24107 Quarnbek
10.15488 54.33537 63 4 4 Kiellinie 100, 24105 Kiel
10.07702 54.33445 60 9 9 Zu den Eichen 13, 24119 Kronshagen
10.14427 54.27224 52 8 8 Steindamm 54, 24145 Kiel
10.13658 54.38674 57 12 12 Allensteiner Weg 6, 24161 Altenholz
10.17343 54.29463 62 8 8 Schlehenkamp 1, 24146 Kiel
10.07851 54.36445 63 12 12 Hiddenseer Weg 10, 24107 Kiel
10.18182 54.29683 62 9 9 Tiroler Ring 26, 24147 Kiel
10.06222 54.26011 64 13 13 Hamburger Chaussee 4, 24113 Molfsee
10.13347 54.3045 64 5 5 Oldesloer Str. 1, 24143 Kiel
10.08832 54.35356 58 9 9 Eckernförder Str. 375, 24107 Kiel
10.04721 54.31157 63 11 11 Kopenhagener Allee 1, 24109 Kiel
10.16722 54.41806 65 18 18 Auf der Wurth 2, 24159 Kiel
10.05703 54.26921 53 14 14 Poggenkrugsweg 2, 24113 Molfsee
10.17101 54.4124 59 19 19 Seehundweg 22, 24159 Kiel
10.12776 54.40611 54 16 16 Ahornallee 24, 24161 Altenholz
10.18033 54.32608 60 10 10 Am Seefischmarkt 11, 24148 Kiel
10.18318 54.33911 59 13 13 Hermannstr. 70, 24149 Kiel
10.1413 54.3751 61 13 13 Westenhofstr. 1, 24159 Kiel
10.13079 54.35538 53 6 6 Holtenauer Str. 299, 24106 Kiel
10.11182 54.29681 62 7 7 Hagebuttenstr. 4, 24113 Kiel
10.14425 54.31502 56 7 7 Augustenstr. 15, 24143 Kiel
10.06434 54.26423 59 12 12 Schulstr. 4, 24113 Molfsee
10.08423 54.34752 61 10 10 Holmredder 166, 24107 Kiel
10.07077 54.31524 54 8 8 Martenshofweg 68, 24109 Kiel
10.10919 54.36224 59 9 9 Projensdorfer Str. 231, 24106 Kiel
10.13122 54.28144 62 8 8 Justdiek 4, 24145 Kiel
10.09916 54.34345 59 6 6 Eckernförder Str. 301, 24119 Kronshagen
9.98911 54.34473 54 17 17 Treidelweg 1, 24107 Quarnbek
10.13452 54.30401 64 5 5 Oldesloer Str. 5, 24143 Kiel
10.16602 54.32363 52 9 9 Minnastr. 20, 24148 Kiel
10.15219 54.27498 52 8 8 Edisonstr. 9, 24145 Kiel
10.19173 54.33594 54 11 11 Johannisburger Str. 8, 24149 Kiel
9.98971 54.3442 56 17 17 Am Fährberg 30, 24107 Quarnbek
10.11729 54.32053 54 3 3 Zastrowstr. 28, 24114 Kiel
10.18463 54.33615 55 13 13 Albert-Schweitzer-Weg 3, 24149 Kiel
10.16579 54.3141 55 7 7 Grabastr. 55, 24148 Kiel
10.15031 54.29738 63 7 7 Segeberger Landstr. 2, 24145 Kiel
10.07082 54.26517 58 12 12 Kolberg 6, 24113 Molfsee
10.08791 54.35219 57 8 8 Dr.-Hell-Str. 1, 24107 Kiel
10.17232 54.29438 58 8 8 Schlehenkamp 3, 24146 Kiel
10.07895 54.33601 61 9 9 Am Holm 10, 24119 Kronshagen
10.20882 54.32561 60 12 12 Oppendorfer Weg 15, 24149 Kiel
10.06589 54.29291 65 12 12 Wiepenkrog 78, 24113 Kiel
10.05331 54.26798 56 14 14 Poggenkrugsweg 28, 24113 Molfsee
10.08794 54.33793 63 7 7 Kopperpahler Allee 68, 24119 Kronshagen
10.14196 54.3088 56 4 4 Georg-Pfingsten-Str. 10, 24143 Kiel
10.07961 54.33253 54 9 9 Von-Stephan-Str. 7, 24119 Kronshagen
10.1475 54.30456 64 6 6 Ostring 88, 24143 Kiel
10.11859 54.33238 59 3 3 Gutenbergstr. 62, 24118 Kiel
10.20498 54.28839 59 13 13 Werdenfelser Str. 7, 24146 Kiel
10.12764 54.38856 57 13 13 Königsberger Str. 19, 24161 Altenholz
10.12459 54.33783 64 4 4 Westring 385, 24118 Kiel
10.13271 54.31624 52 1 1 Auguste-Viktoria-Str. 16, 24103 Kiel
10.08556 54.28669 58 10 10 Hamburger Landstr. 15, 24113 Molfsee
10.14724 54.36936 63 13 13 Kastanienallee 30, 24159 Kiel
10.1293 54.32712 56 2 2 Wilhelminenstr. 32, 24103 Kiel
10.17602 54.32335 64 9 9 Danziger Str. 14, 24148 Kiel
10.07872 54.29222 63 10 10 Vorderkronsberg 1, 24113 Kiel
10.08341 54.33506 63 8 8 Sandkoppel 6, 24119 Kronshagen
10.1452 54.34913 52 6 6 Park-Str. 2, 24106 Kiel
10.13577 54.30558 55 4 4 Kehrwieder 1, 24143 Kiel
10.18129 54.29491 59 9 9 Eger-Str. 3, 24146 Kiel
10.07798 54.36354 52 11 11 Wolliner Weg 8, 24107 Kiel
10.1286 54.32178 63 2 2 Exerzierplatz 30, 24103 Kiel
10.13224 54.35045 57 5 5 Holtenauer Str. 257, 24106 Kiel
10.09608 54.34762 60 7 7 Vulkanweg 2, 24119 Kronshagen
10.13854 54.34959 60 5 5 Feldstr. 171, 24106 Kiel
10.10165 54.34652 65 7 7 Radbruchstr. 1, 24106 Kiel
10.13117 54.32732 55 2 2 Legienstr. 26, 24103 Kiel
10.1545 54.28744 64 10 10 Stauffenberg-Ring 40, 24145 Kiel
10.11909 54.39622 61 14 14 Struckbrook 2, 24161 Altenholz
10.12131 54.40238 52 15 15 Linden-Allee 4, 24161 Altenholz
10.07245 54.35359 56 11 11 Steinberg 68, 24107 Kiel
10.1308 54.324 60 1 1 Lorentzendamm 46, 24103 Kiel
10.13152 54.32168 52 1 1 Waisenhofstr. 1, 24103 Kiel
10.17391 54.40056 60 17 17 Grüffkamp 38, 24159 Kiel
10.13066 54.31827 59 1 1 Hopfenstr. 65, 24103 Kiel
10.07566 54.33817 56 9 9 Ernst-Barlach-Weg 2, 24119 Kronshagen
10.13002 54.36528 56 9 9 Auberg 61, 24106 Kiel
10.11814 54.40045 54 15 15 Klausdorfer Str. 76, 24161 Altenholz
10.16146 54.41021 59 17 17 Seekamper Weg 14, 24159 Kiel
10.13437 54.3577 60 7 7 Adalbertstr. 7, 24106 Kiel
10.02421 54.31545 59 10 10 Dorfstr. 64, 24109 Melsdorf
10.10313 54.31076 56 6 6 Mettlachstr. 6, 24114 Kiel
10.07007 54.30282 60 11 11 Steglitzer Weg 15, 24111 Kiel
10.16737 54.39612 52 16 16 Ringelnatzstr. 23, 24159 Kiel
10.13415 54.33916 53 4 4 Wrangelstr. 61, 24105 Kiel
10.13538 54.27756 63 8 8 Radewisch 19, 24145 Kiel
10.07961 54.33253 55 9 9 Von-Stephan-Str. 7, 24119 Kronshagen
10.07666 54.3626 65 11 11 Ostseestr. 3, 24107 Kiel
10.04985 54.32715 56 11 11 Helsinkistr. 25, 24109 Kiel
10.13179 54.30294 52 5 5 Tonberg 3, 24113 Kiel
10.12576 54.36992 59 12 12 Geheimrat-Schultz-Weg 51, 24159 Kiel
10.15397 54.31119 56 5 5 Ostring 151, 24143 Kiel
10.13976 54.35836 53 10 10 Greifswalder Str. 14, 24106 Kiel
10.17181 54.32155 54 9 9 Elbinger Str. 6, 24148 Kiel
10.17381 54.42348 60 19 19 Hohes Ufer 5, 24159 Kiel
10.14139 54.31463 53 5 5 Werftstr. 173, 24143 Kiel
10.12483 54.28146 64 8 8 Bustorfer Weg 66, 24145 Kiel
10.11453 54.32454 54 3 3 Kronshagener Weg 40, 24116 Kiel
10.1316 54.34133 60 4 4 Esmarchstr. 81, 24118 Kiel
10.17631 54.41853 54 18 18 Funkstellenweg 135, 24159 Kiel
10.12735 54.33601 60 3 3 Waitzstr. 96, 24118 Kiel
10.12244 54.32316 60 2 2 Stephan-Heinzel-Str. 5, 24103 Kiel
10.11272 54.32381 63 3 3 Westring 232, 24116 Kiel
10.12902 54.33721 56 3 3 Samwerstr. 15, 24118 Kiel
10.16667 54.3216 59 8 8 Werftstr. 2, 24148 Kiel
10.12186 54.40146 57 16 16 Linden-Allee 36, 24161 Altenholz
10.14764 54.31502 57 6 6 Norddeutsche Str. 25, 24143 Kiel
10.13438 54.29026 54 6 6 Kniestr. 21, 24145 Kiel
10.07233 54.35975 62 12 12 Hoogewinkel 56, 24107 Kiel
10.15062 54.33396 59 3 3 Düsternbrooker Weg 61, 24105 Kiel
10.1156 54.34718 59 8 8 Am Botanischen Garten 4, 24118 Kiel
10.06447 54.27758 60 12 12 Wolfskamp 2, 24113 Molfsee
10.19076 54.28722 57 12 12 Lechweg 51, 24146 Kiel
10.18456 54.29454 60 9 9 Bebelplatz 4, 24146 Kiel
10.07599 54.33219 65 7 7 Kieler Str. 116, 24119 Kronshagen
10.1316 54.28433 60 7 7 Grot Steenbusch 30, 24145 Kiel
10.07538 54.33823 54 9 9 Güstrower Weg 8, 24119 Kronshagen
10.08357 54.36255 56 13 13 Wippen 14, 24107 Kiel
10.1323 54.28158 59 7 7 Radewisch 161, 24145 Kiel
10.16099 54.39911 62 18 18 Wilhelm-Lobsien-Weg 4, 24159 Kiel
10.16909 54.39902 60 16 16 Friedrichsorter Str. 33, 24159 Kiel
10.15352 54.31278 56 7 7 Pickertstr. 1, 24143 Kiel
10.15014 54.30814 59 5 5 Ostring 124, 24143 Kiel
10.06794 54.28058 61 12 12 Wollbergsredder 8, 24113 Molfsee
10.12291 54.32326 58 2 2 Eckernförder Str. 28, 24103 Kiel
10.15374 54.25805 65 10 10 Zum Schlüsbeker Moor 52, 24145 Kiel
10.1365 54.32052 59 0 0 Hafenstr. 17, 24103 Kiel
10.07141 54.26518 63 12 12 Kolberg 8, 24113 Molfsee
10.17034 54.39257 52 18 18 Julius-Fürst-Weg 30, 24159 Kiel
10.12819 54.32688 57 2 2 Wilhelminenstr. 34, 24103 Kiel
10.17813 54.31886 57 8 8 Klausdorfer Weg 163, 24148 Kiel
10.05509 54.29731 53 11 11 Ihlkatenweg 28, 24111 Kiel
10.10201 54.37739 59 15 15 Knooper Dorfstr. 2, 24161 Altenholz
10.08509 54.34725 57 10 10 Holmredder 177, 24107 Kiel
10.08808 54.35575 52 9 9 Lärchenweg 4, 24107 Kiel
10.13531 54.38917 64 14 14 Elbinger Weg 82, 24161 Altenholz
10.15546 54.27986 58 10 10 Bunsenstr. 6, 24145 Kiel
10.16944 54.28678 56 9 9 Segeberger Landstr. 139, 24145 Kiel
10.1275 54.33769 58 4 4 Hansastr. 71, 24118 Kiel
10.12614 54.30946 61 3 3 Sophienblatt 92, 24114 Kiel
10.0768 54.33757 57 9 9 Ernst-Barlach-Weg 18, 24119 Kronshagen
10.11542 54.40015 52 16 16 Am Dehnberg 3, 24161 Altenholz
10.08712 54.33056 54 6 6 Seilerei 6, 24119 Kronshagen
10.15172 54.26247 62 9 9 Zum Schlüsbeker Moor 14, 24145 Kiel
10.06141 54.30075 58 10 10 Russeer Forst 2, 24111 Kiel
10.1183 54.37179 64 12 12 Knooper Landstr. 4, 24161 Altenholz
10.147 54.31144 64 5 5 Vinetaplatz 1, 24143 Kiel
10.13946 54.37212 59 11 11 Richthofenstr. 20, 24159 Kiel
10.12385 54.40197 54 16 16 Ahornallee 1, 24161 Altenholz
10.17114 54.2924 64 8 8 Schlehenkamp 17, 24146 Kiel
10.1065 54.32716 63 4 4 Kronshagener Weg 107, 24116 Kiel
10.1567 54.39553 60 15 15 Wagnerring 1, 24159 Kiel
10.08507 54.31794 60 9 9 Julienluster Weg 22, 24109 Kiel
10.17988 54.29913 63 9 9 Tiroler Ring 144, 24147 Kiel
10.07598 54.32914 59 8 8 Alte Gärtnerei 7, 24119 Kronshagen
10.12785 54.28296 56 7 7 Lüttenhoff 1, 24145 Kiel
10.14046 54.32255 52 0 0 Eggerstedtstr. 9, 24103 Kiel
10.1345 54.3597 53 8 8 Adalbertstr. 31, 24106 Kiel
10.13406 54.28566 64 6 6 Poppenkamp 2, 24145 Kiel
10.06346 54.35303 59 11 11 Schwartenbeker Weg 40, 24107 Kiel
10.05074 54.31289 64 10 10 Jütlandring 30, 24109 Kiel
10.18469 54.29005 59 9 9 Franzensbader Str. 1, 24146 Kiel
10.18658 54.28481 53 11 11 Pottberg 12, 24146 Kiel
10.11589 54.28155 57 9 9 Am Biberbach 2, 24145 Kiel
10.18346 54.30458 53 10 10 Gerstenkamp 31, 24147 Kiel
10.07517 54.33539 57 10 10 Steindamm 2, 24119 Kronshagen
10.1058 54.29929 53 5 5 Hamburger Chaussee 178, 24113 Kiel
10.1381 54.29138 52 7 7 Kieler Kamp 38, 24145 Kiel
10.10476 54.30688 60 6 6 Christianistr. 35, 24113 Kiel
10.1608 54.29225 52 8 8 Segeberger Landstr. 63, 24145 Kiel
10.07412 54.31425 55 9 9 Melsdorfer Str. 65, 24109 Kiel
10.11516 54.32816 64 4 4 Uhlandstr. 2, 24116 Kiel
10.12341 54.39775 62 14 14 Schoolredder 22, 24161 Altenholz
10.09681 54.35116 62 8 8 Gänsewiese 5, 24107 Kiel
10.17149 54.39433 57 17 17 Stettiner Platz 8, 24159 Kiel
10.14793 54.27266 59 8 8 Edisonstr. 18, 24145 Kiel
9.98821 54.34143 53 17 17 Ginsterbusch 6, 24107 Quarnbek
10.10162 54.34971 62 7 7 Mangoldtstr. 14, 24106 Kiel
10.1433 54.33368 55 3 3 Niemannsweg 13, 24105 Kiel
