2001
10.13847 54.32255 0 0 0 Holstenstr. 12, 24103 Kiel
10.11828 54.33372 44 3 3 Christian-Kruse-Str. 19, 24118 Kiel
10.16441 54.39837 40 16 16 Joachim-Mähl-Str. 1, 24159 Kiel
10.07537 54.31957 46 7 7 Melsdorfer Str. 13, 24109 Kiel
10.14036 54.31364 44 5 5 Werftstr. 189, 24143 Kiel
10.09332 54.31966 46 5 5 Hasselrade 6, 24114 Kiel
10.0621 54.25998 44 13 13 Hamburger Chaussee 2, 24113 Molfsee
10.13496 54.28806 42 6 6 Poppenbrügger Weg 2, 24145 Kiel
10.12837 54.40042 42 15 15 Rüschkamp 1, 24161 Altenholz
10.12986 54.40635 47 16 16 Alter Kieler Weg 1, 24161 Altenholz
10.11444 54.3076 47 5 5 Theodor-Heuss-Ring 30, 24114 Kiel
10.1436 54.31264 42 5 5 Pastor-Gosch-Weg 1, 24143 Kiel
10.09313 54.33205 40 7 7 Weidenkamp 1, 24119 Kronshagen
10.13379 54.38852 47 12 12 Elbinger Weg 55, 24161 Altenholz
10.12928 54.3507 48 7 7 Heider Str. 21, 24106 Kiel
10.15387 54.40229 41 16 16 Friedrichsruher Weg 233, 24159 Kiel
10.06392 54.3171 42 10 10 Hofholzallee 225, 24109 Kiel
10.14794 54.34518 39 6 6 Linden-Allee 16, 24105 Kiel
10.12524 54.30663 46 3 3 Alte Lübecker Chaussee 13, 24114 Kiel
10.08222 54.35268 40 11 11 Alter Viedamm 33, 24107 Kiel
10.14413 54.36497 47 10 10 Schleuseninsel 43, 24159 Kiel
10.12858 54.37027 43 12 12 Geheimrat-Schultz-Weg 10, 24159 Kiel
10.08016 54.35759 44 10 10 Amrumring 15, 24107 Kiel
10.0816 54.35324 46 10 10 Alter Viedamm 2, 24107 Kiel
10.11879 54.40364 45 17 17 Rehwinkel 27, 24161 Altenholz
10.10613 54.41584 44 17 17 Postkamp 11, 24161 Altenholz
10.0845 54.36196 46 13 13 Sukoring 37, 24107 Kiel
10.15145 54.33222 40 2 2 Kiellinie 61, 24105 Kiel
9.9895 54.3409 48 17 17 Sturenberg 23, 24107 Quarnbek
10.1219 54.40185 47 15 15 Linden-Allee 40, 24161 Altenholz
10.0736 54.28239 46 11 11 Mielkendorfer Weg 11, 24113 Molfsee
10.13304 54.40049 40 15 15 Aukamp 11, 24161 Altenholz
10.19726 54.28813 44 11 11 Allgäuer Str. 23, 24146 Kiel
10.07607 54.30092 48 11 11 Moorblek 1, 24111 Kiel
10.12942 54.4054 41 17 17 Lärchenweg 12, 24161 Altenholz
10.15434 54.40248 40 16 16 Friedrichsruher Weg 236, 24159 Kiel
10.1515 54.25676 45 10 10 Hexentellerweg 32, 24145 Kiel
10.18654 54.29868 46 9 9 Klagenfurter Weg 47, 24147 Kiel
10.17566 54.41572 43 19 19 Seeadlerweg 27, 24159 Kiel
10.16737 54.39612 44 16 16 Ringelnatzstr. 23, 24159 Kiel
10.05623 54.33253 48 12 12 Spitzbergenweg 81, 24109 Kiel
10.08831 54.33912 39 7 7 Kopperpahler Allee 79, 24119 Kronshagen
10.05612 54.32577 45 11 11 Skandinaviendamm 251, 24109 Kiel
10.08999 54.28963 45 8 8 Hamburger Chaussee 352, 24113 Kiel
10.16597 54.40016 44 16 16 Wilhelm-Busch-Str. 12, 24159 Kiel
10.08268 54.33485 45 8 8 Sandkoppel 16, 24119 Kronshagen
10.0817 54.30395 46 11 11 Zehlendorfer Str. 69, 24111 Kiel
10.13368 54.34011 45 3 3 Holtenauer Str. 160, 24105 Kiel
10.06331 54.26436 46 12 12 Schulberg 2, 24113 Molfsee
10.12667 54.40203 46 16 16 Ebereschenweg 56, 24161 Altenholz
10.17492 54.29149 47 9 9 Am Hofe 1, 24146 Kiel
10.19024 54.31574 40 11 11 Klausdorfer Weg 277, 24148 Kiel
10.13687 54.32119 48 0 0 Andreas-Gayk-Str. 1, 24103 Kiel
10.13669 54.34265 44 5 5 Blücherstr. 1, 24105 Kiel
10.09462 54.29914 48 7 7 Haßberg 11, 24113 Kiel
9.98973 54.33868 42 16 16 Sturenberg 37, 24107 Quarnbek
10.12229 54.28256 49 8 8 Lütt Steenbusch 22, 24145 Kiel
10.13088 54.41059 43 15 15 Erdbeerfeld 2, 24161 Altenholz
10.13254 54.38884 40 14 14 Tilsiter Weg 62, 24161 Altenholz
10.05164 54.31263 40 11 11 Korsörweg 29, 24109 Kiel
10.06125 54.32127 48 10 10 Gotlandwinkel 15, 24109 Kiel
10.17323 54.32295 44 9 9 Erlenkamp 3, 24148 Kiel
10.15088 54.3361 43 3 3 Karolinenweg 1, 24105 Kiel
10.06803 54.35342 44 14 14 Horstblick 27, 24107 Kiel
10.06497 54.26531 40 12 12 Catharinenberg 1, 24113 Molfsee
10.10215 54.35056 46 9 9 Klausbrooker Weg 171, 24106 Kiel
10.18217 54.33074 46 11 11 Heikendorfer Weg 40, 24149 Kiel
10.16308 54.30262 41 7 7 Preetzer Str. 207, 24147 Kiel
10.14928 54.31467 46 7 7 Norddeutsche Str. 40, 24143 Kiel
10.07207 54.30495 47 11 11 Spandauer Weg 21, 24111 Kiel
10.13868 54.36025 45 8 8 Rostocker Str. 2, 24106 Kiel
10.07406 54.3254 46 8 8 Am Forsthaus Wittland 27, 24109 Kiel
10.14888 54.306 45 5 5 Greifstr. 2, 24143 Kiel
10.06638 54.31559 40 9 9 Bahrenbrooker Weg 2, 24109 Kiel
10.06136 54.26193 41 13 13 Möwenstr. 11, 24113 Molfsee
10.13839 54.38511 47 11 11 Friedrichsruher Weg 4, 24161 Altenholz
10.12679 54.28292 47 9 9 Bustorfer Weg 72, 24145 Kiel
10.13478 54.38746 47 12 12 Elbinger Weg 4, 24161 Altenholz
10.0913 54.33278 41 6 6 Hasselkamp 56, 24119 Kronshagen
10.18657 54.33556 48 12 12 Woermannstr. 1, 24149 Kiel
10.14928 54.31467 47 7 7 Norddeutsche Str. 40, 24143 Kiel
10.1307 54.38762 40 12 12 Königsberger Str. 1, 24161 Altenholz
10.17724 54.3255 43 9 9 Schönberger Str. 70, 24148 Kiel
10.05844 54.29993 41 11 11 Vorder Bramberg 4, 24111 Kiel
10.07852 54.27809 40 11 11 Hamburger Landstr. 76, 24113 Molfsee
10.11651 54.32578 46 4 4 Spichernstr. 2, 24116 Kiel
10.01807 54.34267 40 15 15 Reimershofer Weg 12, 24107 Quarnbek
10.1219 54.32182 40 2 2 Hermann-Weigmann-Str. 1, 24103 Kiel
10.11572 54.30463 48 4 4 Hamburger Chaussee 80, 24113 Kiel
10.15274 54.25734 47 10 10 Hexentellerweg 33, 24145 Kiel
10.12844 54.36985 40 12 12 Geheimrat-Schultz-Weg 15, 24159 Kiel
10.12837 54.39762 40 14 14 Ohlandbogen 13, 24161 Altenholz
10.12774 54.32637 44 2 2 Knooper Weg 63, 24116 Kiel
10.1706 54.39776 42 16 16 Friedrichsorter Str. 22, 24159 Kiel
10.15349 54.3695 46 14 14 Kanalstr. 85, 24159 Kiel
10.09373 54.34958 44 8 8 Klausbrooker Weg 4, 24107 Kiel
10.13265 54.3209 45 2 2 Kleiner Kuhberg 12, 24103 Kiel
10.17107 54.39751 40 17 17 Friedrichsorter Str. 19, 24159 Kiel
10.13701 54.32305 44 1 1 Kehdenstr. 15, 24103 Kiel
10.07406 54.3254 46 8 8 Am Forsthaus Wittland 27, 24109 Kiel
10.07939 54.30728 47 11 11 Gatowweg 49, 24111 Kiel
10.145 54.33163 44 3 3 Schwanenweg 20, 24105 Kiel
10.1264 54.37052 47 11 11 Waffenschmiede 50, 24159 Kiel
10.12426 54.31161 47 2 2 Königsweg 80, 24114 Kiel
10.1449 54.34512 40 5 5 Schlieffenallee 18, 24105 Kiel
10.17684 54.30431 40 9 9 Ellerbeker Weg 90, 24147 Kiel
10.14809 54.33964 43 5 5 Bartelsallee 9, 24105 Kiel
10.07084 54.35746 47 12 12 Maasen 2, 24107 Kiel
10.19003 54.3328 42 11 11 Ivensring 19, 24149 Kiel
10.17017 54.42358 41 19 19 Muschelweg 1, 24159 Kiel
10.17536 54.39107 45 15 15 Christianspries 5, 24159 Kiel
10.16597 54.40016 40 16 16 Wilhelm-Busch-Str. 12, 24159 Kiel
10.13117 54.31131 41 2 2 Kai-Str. 70, 24114 Kiel
10.12461 54.33731 41 4 4 Westring 390, 24118 Kiel
10.14576 54.31081 42 5 5 Elisabethstr. 61, 24143 Kiel
10.08447 54.3543 46 9 9 Ellerkrug 100, 24107 Kiel
10.14615 54.33566 40 3 3 Reventlouallee 18, 24105 Kiel
10.1377 54.33588 41 3 3 Adolfstr. 42, 24105 Kiel
10.17506 54.29201 42 9 9 Im Dorfe 4, 24146 Kiel
10.11572 54.30463 42 4 4 Hamburger Chaussee 80, 24113 Kiel
10.17531 54.32404 45 9 9 Timkestr. 26, 24148 Kiel
10.10322 54.37741 46 14 14 Knooper Dorfstr. 2, 24161 Altenholz
10.13019 54.32432 42 1 1 Fleethörn 32, 24103 Kiel
10.18561 54.29743 47 10 10 Tiroler Ring 702, 24147 Kiel
10.13331 54.33846 46 4 4 Knooper Weg 193, 24118 Kiel
10.07007 54.35236 44 12 12 Weiden 22, 24107 Kiel
10.1153 54.31439 40 4 4 Dubenhorst 4, 24114 Kiel
10.1614 54.29258 42 8 8 Buschkoppel 2, 24145 Kiel
10.08852 54.28427 44 10 10 Am See 5, 24113 Molfsee
10.14771 54.28587 46 7 7 Poppenbrügger Weg 72, 24145 Kiel
10.14392 54.34147 41 5 5 Esmarchstr. 1, 24105 Kiel
10.11578 54.32548 45 3 3 Wörthstr. 31, 24116 Kiel
10.11568 54.28794 42 6 6 Meimersdorfer Moor 101, 24145 Kiel
10.19034 54.28792 44 12 12 Lechweg 1, 24146 Kiel
10.08354 54.35737 40 9 9 Eckernförder Str. 417, 24107 Kiel
9.99568 54.34337 42 17 17 Spitzenrade 9, 24107 Quarnbek
10.13901 54.30742 42 4 4 Preetzer Str. 2, 24143 Kiel
10.16616 54.32305 45 9 9 Julienstr. 24, 24148 Kiel
10.07655 54.30832 40 11 11 Grünauzeile 1, 24111 Kiel
10.11411 54.30559 48 5 5 Schleswiger Str. 5, 24113 Kiel
10.08074 54.36168 42 10 10 Von-der-Wisch-Str. 37, 24107 Kiel
10.17944 54.31219 42 10 10 Fargauweg 4, 24148 Kiel
10.07517 54.32842 46 9 9 Hofbrook 38, 24119 Kronshagen
10.12933 54.315 47 1 1 Ringstr. 13, 24114 Kiel
10.14181 54.36879 42 13 13 Schleuseninsel 2, 24159 Kiel
10.04416 54.31329 39 11 11 Ripener Weg 1, 24109 Kiel
10.12351 54.28096 48 8 8 Bustorfer Weg 64, 24145 Kiel
10.09949 54.33212 43 5 5 Hasselkamp 113, 24119 Kronshagen
10.08881 54.34268 40 8 8 Elsa-Brandström-Str. 20, 24119 Kronshagen
10.12879 54.37004 47 11 11 Geheimrat-Schultz-Weg 14, 24159 Kiel
10.10474 54.29674 43 7 7 Baumweg 1, 24113 Kiel
10.11629 54.35944 43 8 8 Baumschulenweg 1, 24106 Kiel
10.15075 54.31138 47 5 5 Gustav-Schatz-Hof 16, 24143 Kiel
10.18561 54.29743 40 10 10 Tiroler Ring 702, 24147 Kiel
10.18626 54.33079 40 11 11 Eekberg 29, 24149 Kiel
10.08979 54.32728 41 6 6 Volbehrstr. 23, 24119 Kronshagen
10.18592 54.29709 41 10 10 Tiroler Ring 674, 24147 Kiel
10.14377 54.32711 49 2 2 Schlossgarten 14, 24103 Kiel
10.20289 54.33126 40 11 11 Schönkirchener Str. 103, 24149 Kiel
10.1474 54.27387 46 8 8 Edisonstr. 3, 24145 Kiel
10.10665 54.30521 40 5 5 Rendsburger Landstr. 80, 24113 Kiel
10.17225 54.42217 40 18 18 Langenfelde 26, 24159 Kiel
10.0621 54.25998 42 13 13 Hamburger Chaussee 2, 24113 Molfsee
10.1003 54.34533 44 6 6 Am Knick 1, 24119 Kronshagen
10.07126 54.30069 49 10 10 Rendsburger Landstr. 366, 24111 Kiel
10.08726 54.29808 48 8 8 Seekoppelweg 1, 24113 Kiel
10.18545 54.32862 47 10 10 An der Holsatiamühle 1, 24149 Kiel
10.13961 54.32835 46 2 2 Brunswiker Str. 24, 24105 Kiel
10.13849 54.30591 40 4 4 Sörensenstr. 34, 24143 Kiel
10.1369 54.37371 48 11 11 Lilienthalstr. 12, 24159 Kiel
10.15563 54.27619 44 9 9 Edisonstr. 13, 24145 Kiel
10.19123 54.29122 44 10 10 Marienbader Str. 38, 24146 Kiel
10.07684 54.3315 40 8 8 Birkenweg 1, 24119 Kronshagen
10.08851 54.32898 43 6 6 Volbehrstr. 16, 24119 Kronshagen
10.11462 54.32574 40 3 3 Westring 257, 24116 Kiel
10.17021 54.42147 42 18 18 Klabautermanngang 1, 24159 Kiel
10.08117 54.33844 48 8 8 Eichkoppelweg 7, 24119 Kronshagen
10.07294 54.35283 44 11 11 Steinberg 34, 24107 Kiel
10.07699 54.36504 46 11 11 Ostseestr. 105, 24107 Kiel
10.10066 54.36865 46 11 11 Stadtparkweg 18, 24106 Kiel
10.0749 54.33771 44 9 9 Helene-Lange-Weg 3, 24119 Kronshagen
10.1946 54.27639 46 14 14 Lilienbogen 20, 24146 Kiel
10.18936 54.28726 42 11 11 Lechweg 26, 24146 Kiel
10.13531 54.38917 45 14 14 Elbinger Weg 82, 24161 Altenholz
10.17885 54.30075 42 8 8 Ellerbeker Weg 44, 24147 Kiel
10.15062 54.33396 47 3 3 Düsternbrooker Weg 61, 24105 Kiel
10.05384 54.34147 47 11 11 Dorfstr. 17, 24107 Ottendorf
10.11743 54.39628 41 14 14 Klausdorfer Str. 46, 24161 Altenholz
10.15154 54.3129 42 6 6 Gustav-Schatz-Hof 2, 24143 Kiel
10.10044 54.31154 48 6 6 Arfrade 43, 24113 Kiel
10.06955 54.30005 40 10 10 Rendsburger Landstr. 375, 24111 Kiel
10.14134 54.31656 42 5 5 Haken 10, 24143 Kiel
10.06638 54.31559 44 9 9 Bahrenbrooker Weg 2, 24109 Kiel
10.1469 54.28405 43 8 8 Braunstr. 53, 24145 Kiel
10.12786 54.31919 47 1 1 Prüne 6, 24103 Kiel
10.17208 54.42455 41 19 19 Kurallee 29, 24159 Kiel
10.08505 54.28417 49 9 9 Eschenbrook 7, 24113 Molfsee
10.0711 54.30117 41 12 12 Redderkamp 2, 24111 Kiel
10.12247 54.31652 47 3 3 Von-der-Tann-Str. 32, 24114 Kiel
10.10619 54.29882 42 5 5 Hamburger Chaussee 189, 24113 Kiel
10.08956 54.31974 42 7 7 Hofholzallee 20, 24109 Kiel
10.121 54.37047 42 12 12 Friedrich-Voß-Ufer 57, 24161 Altenholz
10.10254 54.30632 42 6 6 Gärtnerstr. 32, 24113 Kiel
10.08693 54.32967 40 6 6 Seilerei 40, 24119 Kronshagen
10.08101 54.36188 43 10 10 Von-der-Wisch-Str. 49, 24107 Kiel
10.07249 54.31421 47 9 9 Am Lindenhof 15, 24109 Kiel
10.17623 54.26953 41 12 12 Götenhof 2, 24145 Kiel
10.11302 54.37332 43 13 13 Knooper Landstr. 26, 24161 Altenholz
10.12895 54.3343 40 3 3 Alsenstr. 2, 24118 Kiel
10.0788 54.35141 48 10 10 Holmredder 25, 24107 Kiel
10.06206 54.30104 42 10 10 Rendsburger Landstr. 408, 24111 Kiel
10.08301 54.36193 46 11 11 Wippen 1, 24107 Kiel
10.13525 54.38155 42 11 11 Dänischenhagener Str. 1, 24159 Kiel
10.11514 54.28229 44 9 9 Am Biberbach 37, 24145 Kiel
10.07556 54.30723 41 13 13 Wannseebogen 9, 24111 Kiel
10.16797 54.32298 42 8 8 Schönberger Str. 154, 24148 Kiel
10.07514 54.27705 47 13 13 Rammsmoor 23, 24113 Molfsee
10.06166 54.26233 46 13 13 Möwenstr. 9, 24113 Molfsee
10.1464 54.32752 41 1 1 Kiellinie 5, 24105 Kiel
10.17652 54.41392 41 19 19 Spinnaker 1, 24159 Kiel
10.1125 54.34187 40 5 5 Olshausenstr. 65, 24118 Kiel
10.12975 54.38409 44 13 13 Posener Str. 15, 24161 Altenholz
10.10009 54.28273 43 8 8 Meimersdorfer Weg 199, 24145 Kiel
10.09225 54.33106 40 7 7 Kronskamp 4, 24119 Kronshagen
10.16541 54.31036 47 9 9 Sören 13, 24148 Kiel
10.16936 54.39528 41 16 16 Gorch-Fock-Str. 2, 24159 Kiel
10.11776 54.39447 40 14 14 Dreiangel 1, 24161 Altenholz
10.14725 54.37113 47 14 14 Grimmstr. 5, 24159 Kiel
10.14814 54.30572 44 5 5 Ostring 61, 24143 Kiel
10.12178 54.40832 47 16 16 Freesenberg 98, 24161 Altenholz
10.0859 54.29961 42 8 8 Rendsburger Landstr. 246, 24113 Kiel
10.16438 54.31361 46 7 7 Klosterstr. 74, 24148 Kiel
10.16726 54.31506 46 7 7 Ostring 318, 24148 Kiel
10.17358 54.32843 42 10 10 Brückenstr. 40, 24148 Kiel
10.12853 54.32332 44 1 1 Waisenhofstr. 34, 24103 Kiel
10.12311 54.29416 41 6 6 Hornheimer Weg 98, 24113 Kiel
10.06109 54.32155 43 10 10 Göteborgring 29, 24109 Kiel
10.13294 54.34701 41 5 5 Holtenauer Str. 236, 24106 Kiel
10.15409 54.34046 41 4 4 Niemannsweg 110, 24105 Kiel
10.15768 54.39483 44 15 15 Buschblick 134, 24159 Kiel
10.07295 54.27846 44 12 12 Barstenkamp 28, 24113 Molfsee
10.14829 54.30567 43 5 5 Ostring 100, 24143 Kiel
10.16133 54.31711 40 8 8 Werftstr. 115, 24148 Kiel
10.07955 54.28139 43 10 10 Mielkendorfer Weg 2, 24113 Molfsee
10.08954 54.35657 46 9 9 Weissdornweg 1, 24107 Kiel
10.1346 54.36518 43 9 9 Am Kiel-Kanal 44, 24106 Kiel
10.15978 54.31124 48 7 7 Erich-Kästner-Weg 11, 24143 Kiel
10.13103 54.32683 49 2 2 Gartenstr. 25, 24103 Kiel
10.0655 54.26112 41 13 13 Grasweg 4, 24113 Molfsee
10.11612 54.30531 44 4 4 Waldwiesenstr. 1, 24113 Kiel
10.12587 54.31626 43 2 2 Ringstr. 34, 24103 Kiel
10.18166 54.33273 42 11 11 Langensaal 4, 24149 Kiel
10.17347 54.32351 39 9 9 Timkestr. 50, 24148 Kiel
10.04488 54.31477 45 11 11 Jütlandring 180, 24109 Kiel
10.13069 54.36072 41 9 9 Schleusenstr. 1, 24106 Kiel
10.09799 54.31938 46 5 5 Hasseldieksdammer Weg 181, 24114 Kiel
10.16523 54.32325 47 10 10 Minnastr. 16, 24148 Kiel
10.16506 54.30099 40 8 8 Preetzer Str. 234, 24147 Kiel
10.12753 54.35325 42 7 7 Husumer Weg 2, 24106 Kiel
10.07007 54.35236 42 12 12 Weiden 22, 24107 Kiel
10.17107 54.32007 47 8 8 Klausdorfer Weg 47, 24148 Kiel
10.1177 54.30562 44 4 4 Rendsburger Landstr. 7, 24113 Kiel
10.13171 54.34755 47 5 5 Kämpenstr. 6, 24106 Kiel
10.12668 54.31016 42 3 3 Sophienblatt 82, 24114 Kiel
10.11392 54.32522 45 3 3 Westring 255, 24116 Kiel
10.12674 54.38654 44 13 13 Waldwinkel 28, 24161 Altenholz
10.0962 54.29113 40 7 7 Hamburger Chaussee 300, 24113 Kiel
10.18363 54.29719 49 8 8 Wiener Allee 1, 24147 Kiel
10.1958 54.33393 39 12 12 Solomit 1, 24149 Kiel
10.1253 54.30692 48 3 3 Alte Lübecker Chaussee 9, 24114 Kiel
10.04585 54.31686 48 10 10 Aalborgring 56, 24109 Kiel
10.0419 54.34097 46 13 13 Langenfelde 4, 24107 Ottendorf
10.14377 54.32711 45 2 2 Schlossgarten 14, 24103 Kiel
10.08687 54.32821 46 7 7 Bürgermeister-Drews-Str. 47, 24119 Kronshagen
10.14263 54.32513 46 1 1 Dänische Str. 44, 24103 Kiel
10.13821 54.3064 46 4 4 Zum Brook 2, 24143 Kiel
10.13253 54.34241 44 4 4 Hardenbergstr. 23, 24118 Kiel
10.07398 54.27638 48 12 12 Rammsmoor 33, 24113 Molfsee
10.1644 54.39931 44 16 16 Otto-Ernst-Weg 2, 24159 Kiel
10.12656 54.31964 44 1 1 Prüne 18, 24103 Kiel
10.10896 54.3504 41 8 8 Bremerskamp 55, 24106 Kiel
10.12011 54.4063 40 17 17 Vordere Wurth 17, 24161 Altenholz
10.13142 54.38706 44 12 12 Tilsiter Weg 2, 24161 Altenholz
10.15479 54.39497 49 16 16 Wagnerring 82, 24159 Kiel
10.04004 54.34192 43 15 15 Zum Wasserblöcken 12, 24107 Ottendorf
10.12753 54.35325 40 7 7 Husumer Weg 2, 24106 Kiel
10.03305 54.31194 46 8 8 Rotenhofer Weg 18, 24109 Melsdorf
10.07073 54.26536 40 12 12 Kolberg 5, 24113 Molfsee
10.12009 54.32746 40 3 3 Herderstr. 2, 24116 Kiel
10.05472 54.3337 46 12 12 Lofotenweg 154, 24109 Kiel
10.13504 54.29014 42 6 6 Kieler Kamp 9, 24145 Kiel
10.14666 54.27761 42 9 9 Borsigstr. 8, 24145 Kiel
10.14806 54.29988 47 6 6 Konrad-Adenauer-Damm 15, 24143 Kiel
10.08159 54.3193 48 7 7 Hofholzallee 76, 24109 Kiel
10.13525 54.38155 45 11 11 Dänischenhagener Str. 1, 24159 Altenholz
10.07884 54.31942 40 7 7 Hofholzallee 102, 24109 Kiel
10.15999 54.27774 44 10 10 Edisonstr. 44, 24145 Kiel
10.13313 54.33446 47 3 3 Holtenauer Str. 67, 24105 Kiel
10.13138 54.31604 47 2 2 Sophienblatt 30, 24103 Kiel
10.06162 54.32068 40 10 10 Göteborgring 15, 24109 Kiel
10.18837 54.29651 42 10 10 Salzburger Str. 9, 24147 Kiel
10.15926 54.40405 48 15 15 Hof Pries 9, 24159 Kiel
10.1263 54.32977 48 3 3 Goethestr. 18, 24116 Kiel
10.13122 54.28536 42 6 6 Bormkamp 23, 24145 Kiel
10.07233 54.35975 45 12 12 Hoogewinkel 56, 24107 Kiel
10.10599 54.36078 46 10 10 Am Tannenberg 33, 24106 Kiel
10.08534 54.2945 46 9 9 Speckenbeker Weg 88, 24113 Kiel
10.11372 54.29447 42 7 7 Hagebuttenstr. 74, 24113 Kiel
10.12707 54.35814 48 7 7 Hohenrade 15, 24106 Kiel
10.21081 54.32362 44 13 13 Oppendorfer Weg 29, 24149 Kiel
10.14416 54.31123 42 4 4 Schulstr. 33, 24143 Kiel
10.12368 54.40804 48 16 16 Dorfkoppel 6, 24161 Altenholz
10.19505 54.32529 46 10 10 Wehdenweg 47, 24148 Kiel
10.08507 54.31794 47 9 9 Julienluster Weg 22, 24109 Kiel
10.18898 54.29528 39 9 9 Troppauer Str. 3, 24146 Kiel
10.18591 54.30075 46 9 9 Salzburger Str. 148, 24147 Kiel
10.08177 54.36157 47 10 10 Von-der-Wisch-Str. 42, 24107 Kiel
10.14332 54.33306 47 3 3 Niemannsweg 11, 24105 Kiel
10.08832 54.35356 47 9 9 Eckernförder Str. 375, 24107 Kiel
10.08067 54.28214 45 11 11 Hamburger Landstr. 46, 24113 Molfsee
10.17003 54.39613 47 16 16 Fritz-Reuter-Str. 94, 24159 Kiel
10.13547 54.39202 49 13 13 Rote Kate 1, 24161 Altenholz
10.11809 54.30621 47 6 6 Theodor-Heuss-Ring 49, 24113 Kiel
10.12369 54.30466 42 4 4 Dithmarscher Str. 1, 24113 Kiel
10.10676 54.37359 45 14 14 Polterberg 1, 24161 Altenholz
10.08708 54.3572 46 9 9 Weissdornweg 11, 24107 Kiel
9.97368 54.34176 46 18 18 Holm 3, 24107 Quarnbek
10.08733 54.33842 45 8 8 Eichkoppelweg 35, 24119 Kronshagen
10.09582 54.31784 40 6 6 Diekweg 16, 24114 Kiel
10.14643 54.39409 44 14 14 Friedrichsruher Weg 125, 24159 Kiel
10.02944 54.31572 41 9 9 Dorfstr. 40, 24109 Melsdorf
10.10144 54.3123 45 6 6 Arfrade 19, 24113 Kiel
10.01807 54.34267 41 15 15 Reimershofer Weg 12, 24107 Quarnbek
10.1756 54.41368 42 18 18 Pamirstr. 1, 24159 Kiel
10.09753 54.33819 40 6 6 Wildrosenweg 1, 24119 Kronshagen
10.14952 54.29844 42 7 7 Segeberger Landstr. 2, 24145 Kiel
10.19505 54.32529 40 10 10 Wehdenweg 47, 24148 Kiel
10.07278 54.35575 42 12 12 Kleine Koppel 47, 24107 Kiel
10.07815 54.36336 43 11 11 Wolliner Weg 10, 24107 Kiel
10.17155 54.42383 46 18 18 Langenfelde 9, 24159 Kiel
10.09916 54.34345 43 6 6 Eckernförder Str. 301, 24119 Kronshagen
10.18519 54.30629 43 10 10 Kneist 4, 24147 Kiel
10.07682 54.28136 40 11 11 Rammseer Berg 3, 24113 Molfsee
10.07631 54.28222 46 11 11 Im Wiesengrund 37, 24113 Molfsee
10.13781 54.34528 44 5 5 Scharnhorststr. 23, 24105 Kiel
10.16888 54.3232 43 8 8 Schönberger Str. 144, 24148 Kiel
10.18801 54.33544 45 11 11 Verdieckstr. 38, 24149 Kiel
10.14075 54.34138 40 5 5 Esmarchstr. 11, 24105 Kiel
10.14912 54.31406 48 6 6 Augustenstr. 47, 24143 Kiel
10.07978 54.33362 47 9 9 Vogteiweg 1, 24119 Kronshagen
10.11743 54.39628 41 14 14 Klausdorfer Str. 46, 24161 Altenholz
